c Random 3-SAT instance
c alpha = 5.0, N = 75, L = 375, instance = 26
p cnf 75 375
41 42 66 0
-33 26 62 0
-16 -13 36 0
-49 28 -38 0
-58 -59 -20 0
-11 -16 52 0
46 -42 34 0
17 52 66 0
26 59 -4 0
-26 -44 -15 0
-2 -60 -40 0
-41 52 -47 0
22 -5 61 0
-28 32 -37 0
-64 45 34 0
-66 -56 -2 0
16 -44 -69 0
1 72 -56 0
-23 -43 -48 0
-33 -35 38 0
-67 11 -53 0
-66 -25 16 0
-18 -59 -29 0
-43 14 75 0
59 -34 -23 0
-67 -50 28 0
46 -28 -56 0
40 -66 39 0
-70 68 55 0
23 -24 18 0
-5 18 36 0
16 58 4 0
71 15 -18 0
-45 -55 -62 0
2 8 11 0
-63 29 -42 0
33 72 21 0
-2 -63 65 0
70 -38 2 0
38 -52 5 0
-49 -14 21 0
47 -69 49 0
38 -29 -19 0
-52 18 -1 0
9 -4 -8 0
-42 22 32 0
-72 -8 -30 0
40 56 52 0
-33 71 -54 0
-38 5 22 0
-5 65 57 0
9 50 57 0
75 -39 32 0
64 49 -51 0
6 40 20 0
60 4 20 0
-39 51 -16 0
21 -66 56 0
10 -23 -59 0
62 -54 -21 0
24 -58 -18 0
30 53 -29 0
35 -39 -20 0
-20 40 -74 0
56 36 35 0
58 -13 -26 0
-20 58 -55 0
-26 43 -6 0
53 -5 62 0
35 -23 -56 0
-44 -65 -9 0
-15 53 -65 0
-15 -35 -49 0
-29 11 1 0
-8 9 47 0
39 -55 -12 0
-74 38 40 0
-35 -69 -22 0
11 15 -13 0
-30 -35 -27 0
59 25 -38 0
-12 -72 65 0
37 -33 -72 0
-71 -8 -3 0
-27 58 4 0
52 54 -25 0
-10 57 -9 0
14 32 -57 0
-13 72 -61 0
41 62 -34 0
72 26 -60 0
58 38 -55 0
-51 -48 -13 0
-30 46 -57 0
-38 -7 -21 0
-23 4 73 0
-18 -35 53 0
67 -12 -9 0
75 31 -26 0
37 -52 70 0
-20 -23 38 0
18 -46 -16 0
13 57 6 0
-3 -22 14 0
48 22 -49 0
-62 18 63 0
-25 24 54 0
54 -68 -13 0
60 50 -45 0
-70 -59 2 0
-46 -35 75 0
-56 -22 49 0
-49 -43 -44 0
57 68 2 0
-25 27 37 0
-46 -33 18 0
-63 58 -40 0
51 8 48 0
-39 -18 37 0
73 -12 72 0
59 9 23 0
23 55 61 0
-40 62 6 0
-11 26 -36 0
52 44 -74 0
73 -31 -43 0
-13 52 -66 0
-49 -19 -26 0
33 -58 31 0
43 39 -4 0
69 -7 71 0
68 37 25 0
-63 -39 -52 0
9 43 -40 0
-75 39 -7 0
-56 59 -45 0
-64 -72 -8 0
-47 49 56 0
-17 -66 -44 0
-16 -22 -26 0
35 -46 -62 0
-23 42 10 0
-62 73 -56 0
-42 -59 -1 0
57 66 -34 0
8 -44 56 0
33 -66 -40 0
36 -56 33 0
-18 69 -57 0
62 14 23 0
-73 2 58 0
-74 25 -20 0
-23 44 -21 0
-63 3 62 0
-23 65 60 0
37 49 59 0
-2 48 56 0
62 41 3 0
58 1 -43 0
-47 25 41 0
53 -66 40 0
-5 30 32 0
1 53 -35 0
-60 -26 -25 0
-58 57 -32 0
64 -32 42 0
-56 69 14 0
-68 -51 -23 0
-60 -66 5 0
75 4 62 0
65 1 -63 0
-60 9 -62 0
64 -8 -48 0
-30 67 59 0
-11 -14 -19 0
-49 -2 -18 0
-20 71 26 0
-64 37 -12 0
3 58 60 0
22 -61 1 0
22 -24 -7 0
-22 11 7 0
41 -6 -54 0
15 20 32 0
-26 -23 10 0
4 69 70 0
-11 27 24 0
23 70 -2 0
58 28 40 0
-31 -40 -34 0
-46 32 2 0
5 -62 40 0
8 -1 -54 0
-1 -10 7 0
-50 -58 37 0
7 -68 31 0
-72 52 28 0
-71 11 10 0
4 2 29 0
-45 -42 73 0
55 43 -3 0
14 48 -74 0
27 33 -36 0
-32 12 -57 0
-48 33 -75 0
-62 -12 71 0
-46 -70 9 0
48 39 8 0
-56 -37 -23 0
-41 38 -56 0
-72 -57 63 0
11 41 5 0
-68 74 65 0
63 49 -45 0
-61 7 -5 0
24 -17 -50 0
-64 39 -28 0
-12 49 51 0
2 67 9 0
35 48 2 0
-1 46 49 0
72 7 -51 0
51 1 -34 0
49 51 -11 0
30 -62 -48 0
-35 71 -55 0
-57 61 -3 0
19 54 48 0
-42 38 -39 0
-38 -70 -75 0
64 35 -74 0
-47 -70 -67 0
-1 8 57 0
-61 -48 -6 0
-61 -4 -69 0
-29 -13 65 0
-18 25 -23 0
57 -55 -60 0
12 -62 41 0
-62 5 -3 0
22 14 -55 0
12 -73 -5 0
33 52 65 0
23 -34 18 0
46 14 19 0
6 61 -45 0
19 41 56 0
-13 -67 -11 0
52 75 -62 0
3 -67 -60 0
-3 26 73 0
-19 48 -2 0
-29 63 -39 0
-41 -64 -28 0
-58 -51 35 0
13 -71 -24 0
-71 -72 -7 0
34 73 -25 0
70 -74 50 0
-28 -35 -13 0
-36 56 -18 0
27 -51 33 0
-74 56 -6 0
51 36 -20 0
36 19 -24 0
-32 26 -11 0
-68 42 20 0
-36 40 -10 0
-13 -6 28 0
23 9 73 0
-36 -39 9 0
-26 -69 -58 0
-18 -17 -65 0
3 26 10 0
25 67 -18 0
73 29 -23 0
-74 47 75 0
5 54 -31 0
31 -9 35 0
39 -21 57 0
-45 55 -63 0
-49 -24 -28 0
-9 -50 12 0
62 67 15 0
11 -29 -41 0
7 -57 -38 0
-68 -42 8 0
-73 -43 11 0
-9 56 -42 0
-37 -39 33 0
66 -45 34 0
-72 21 -48 0
71 -50 13 0
-23 65 -11 0
46 27 -71 0
-41 62 11 0
-57 6 54 0
-66 -31 59 0
-50 51 -74 0
57 -69 12 0
10 -52 -3 0
-3 65 57 0
1 -3 -47 0
12 -5 1 0
3 24 19 0
-10 47 52 0
-10 -70 69 0
11 38 47 0
63 40 49 0
-57 6 51 0
64 30 75 0
-15 -50 56 0
53 -61 25 0
-8 -10 -29 0
-58 59 5 0
65 17 -48 0
8 -73 -68 0
1 30 20 0
12 31 27 0
-16 54 -15 0
42 -37 74 0
-62 37 -45 0
66 -63 1 0
-8 -7 -60 0
60 40 27 0
49 74 23 0
18 -2 69 0
57 68 8 0
-4 73 -13 0
4 -18 -69 0
-27 -42 20 0
-35 37 -74 0
-58 15 14 0
-61 -13 66 0
50 -51 30 0
-23 -20 47 0
-34 64 32 0
-54 72 -49 0
-51 35 -34 0
70 -27 -21 0
-22 -56 55 0
16 61 -68 0
-17 30 44 0
-1 -26 41 0
18 69 21 0
-51 -33 22 0
-54 71 68 0
-29 -34 50 0
1 -20 25 0
73 29 -69 0
-23 -4 -65 0
67 -21 -73 0
64 51 -61 0
-29 2 -37 0
2 -74 28 0
-15 -1 -42 0
64 65 59 0
73 17 11 0
-19 62 21 0
-25 69 71 0
-48 38 22 0
-33 -41 -55 0
53 40 -50 0
14 -9 -51 0
-10 21 -18 0
-40 34 19 0
-61 47 14 0
-25 -75 69 0
-12 26 -25 0
55 6 18 0
53 31 -18 0
19 -16 -7 0
-16 -9 8 0
-52 26 40 0
75 -65 -68 0
s UNSATISFIABLE
d decisions 140
