c Random 3-SAT
c alpha=4.5, N=75, L=337, instance=3
p cnf 75 337
-44 42 59 0
-71 -35 2 0
41 71 70 0
-56 -9 38 0
-62 39 -4 0
-75 11 35 0
65 15 -4 0
35 -75 29 0
22 1 51 0
54 2 52 0
54 47 67 0
57 68 -50 0
-16 75 14 0
-22 75 -47 0
52 -14 -4 0
-34 15 49 0
10 -35 2 0
-26 10 -46 0
-36 -40 -27 0
-29 40 3 0
68 70 57 0
-29 -54 -11 0
57 -21 5 0
12 -58 13 0
-48 -59 57 0
-43 -44 3 0
50 38 -35 0
-40 -52 -4 0
37 -24 -48 0
30 -4 50 0
-1 36 40 0
34 63 1 0
-26 40 49 0
9 53 69 0
-25 7 22 0
-23 63 -2 0
-68 63 -39 0
12 -32 72 0
-72 -71 67 0
39 -56 -33 0
28 -27 -15 0
65 -4 -60 0
33 59 40 0
-14 -23 -35 0
-37 71 4 0
-65 -12 42 0
34 27 -73 0
-16 10 -34 0
13 3 1 0
-8 60 34 0
-41 -2 -30 0
71 5 -60 0
46 70 -2 0
-61 -22 60 0
44 -9 -12 0
53 2 71 0
-13 -26 -54 0
-69 68 -12 0
39 -65 -41 0
-13 73 22 0
24 30 -63 0
22 31 -18 0
-70 42 19 0
-52 -51 59 0
-32 -19 33 0
65 -23 -8 0
17 -13 -21 0
5 56 -74 0
43 23 -47 0
20 -31 -61 0
-62 -49 -32 0
48 -18 -11 0
11 34 33 0
-27 39 -47 0
52 -5 -75 0
34 -71 37 0
6 74 19 0
-50 -15 27 0
-38 -42 27 0
43 -34 -47 0
-75 64 -6 0
-26 54 40 0
7 -36 -42 0
48 4 -18 0
71 -17 -35 0
-18 -2 -44 0
18 -63 49 0
23 47 -34 0
-63 -62 -20 0
-8 -17 56 0
-32 57 -11 0
16 -18 -34 0
-59 -13 -7 0
73 68 -20 0
-45 57 -22 0
-6 -30 50 0
62 -51 -46 0
-58 -26 -40 0
70 -52 -23 0
-17 -43 4 0
7 11 -68 0
17 -9 63 0
-2 6 -10 0
-32 -55 51 0
40 -50 18 0
39 -34 -69 0
-10 74 -40 0
64 26 -10 0
48 -15 73 0
72 -73 23 0
70 33 52 0
-10 45 61 0
3 9 21 0
45 49 -37 0
-55 -24 -16 0
16 75 -70 0
25 43 -69 0
-37 5 27 0
-36 -25 -47 0
-36 -60 23 0
-65 34 37 0
-59 -52 33 0
-32 33 -2 0
-67 56 -10 0
-68 -14 -62 0
73 -19 74 0
22 -4 30 0
-22 -70 46 0
-28 46 75 0
24 23 65 0
-38 -67 68 0
-40 -24 30 0
-47 59 -23 0
20 33 -74 0
-28 -68 10 0
-17 -72 45 0
7 14 -31 0
55 -28 -42 0
25 -51 3 0
18 -49 -37 0
-60 -40 -25 0
19 -68 -14 0
31 -5 -65 0
-37 -31 -34 0
44 35 -65 0
-55 66 36 0
6 72 21 0
-46 21 -44 0
-38 -14 -35 0
-16 -71 72 0
-41 2 43 0
-46 -18 -37 0
-67 -36 8 0
59 -18 17 0
-46 -29 21 0
-75 -10 53 0
-38 -31 -32 0
41 -31 -63 0
21 -64 -53 0
-2 -57 -6 0
-50 -47 -5 0
27 64 -19 0
47 20 40 0
5 -38 -8 0
62 -19 9 0
52 29 -10 0
-13 -68 64 0
36 43 23 0
25 59 57 0
18 75 65 0
25 8 -75 0
-51 -73 4 0
-45 42 38 0
10 -42 -60 0
-27 28 -74 0
9 -12 44 0
-55 -74 22 0
-14 39 -53 0
-43 -19 5 0
10 63 25 0
-2 -38 -67 0
49 -45 -58 0
-27 -4 9 0
-9 23 -65 0
51 60 31 0
-65 48 -38 0
58 -13 -29 0
-71 -41 47 0
-49 -74 -60 0
48 42 5 0
-42 67 -30 0
-38 7 -54 0
-44 50 -11 0
-38 5 -41 0
38 21 -72 0
-50 -10 14 0
11 46 5 0
-13 48 71 0
74 -13 -27 0
-74 47 -7 0
-45 -44 2 0
36 -38 2 0
69 -55 -22 0
-56 35 1 0
62 -66 5 0
28 61 55 0
-49 -15 52 0
51 -47 68 0
-49 39 -15 0
53 -19 3 0
14 17 -43 0
-32 13 69 0
37 30 -25 0
-35 22 -3 0
38 -28 -23 0
29 1 -6 0
-32 1 6 0
29 -22 51 0
-21 71 5 0
70 28 72 0
46 -48 63 0
14 -24 26 0
51 14 25 0
-64 -54 -74 0
70 40 58 0
9 51 -57 0
68 -2 -10 0
59 72 42 0
63 66 48 0
66 68 -39 0
40 -30 52 0
65 6 45 0
70 -32 63 0
34 43 53 0
42 44 70 0
16 13 -5 0
-23 -44 10 0
7 13 -44 0
59 36 40 0
-50 -70 -69 0
45 13 -55 0
-12 -71 -25 0
-16 -60 -10 0
-31 62 -16 0
75 28 44 0
-71 57 -75 0
-5 64 -66 0
29 72 -75 0
-10 -71 48 0
-54 -9 -29 0
-72 62 -11 0
5 16 -18 0
31 -21 51 0
-2 32 44 0
-71 54 47 0
72 -58 60 0
-4 -15 21 0
-16 -49 32 0
17 13 -38 0
36 64 -18 0
-42 56 58 0
-30 -65 16 0
-25 -31 8 0
-62 37 -53 0
55 19 71 0
-74 -51 -75 0
39 25 30 0
-1 -71 23 0
-34 15 -29 0
38 -54 -72 0
20 -72 -31 0
63 54 45 0
-59 54 -10 0
37 69 27 0
23 47 -60 0
12 -51 36 0
2 -20 -53 0
-28 12 -11 0
71 -22 -39 0
-16 -33 57 0
25 27 75 0
-11 30 -65 0
-36 -5 41 0
-45 11 -50 0
5 -33 18 0
-31 -45 7 0
-71 22 -25 0
-14 45 -31 0
-52 51 -8 0
20 42 -35 0
-54 30 -5 0
-56 -10 -7 0
-6 64 39 0
2 -69 68 0
24 68 34 0
2 -12 -19 0
58 -24 -2 0
18 36 16 0
59 -25 -70 0
74 -26 9 0
57 58 29 0
63 32 15 0
55 -65 40 0
-50 35 48 0
70 12 68 0
-41 -24 66 0
43 -14 -1 0
33 25 34 0
-17 -67 11 0
-40 -19 13 0
13 -28 39 0
-66 30 -72 0
42 -10 24 0
48 40 -53 0
19 58 9 0
-54 52 24 0
60 -5 30 0
24 -66 43 0
36 24 -73 0
69 -28 -11 0
-49 -69 -74 0
41 72 -51 0
40 -66 63 0
-72 13 33 0
-58 3 -59 0
37 14 -40 0
-15 12 33 0
45 6 53 0
9 49 -10 0
19 -36 -17 0
-35 11 43 0
67 2 -66 0
-6 -39 1 0
-13 7 -5 0
-24 -7 -30 0
-5 38 23 0
62 -41 -64 0

SATISFIABLE  
1024  
256
