c Random 3-SAT
c alpha=4.5, N=75, L=337, instance=13
p cnf 75 337
75 -9 -63 0
42 27 14 0
32 12 -68 0
-64 60 -44 0
-65 23 40 0
61 44 36 0
14 -10 66 0
-57 74 -72 0
-72 -59 -41 0
-61 -14 68 0
67 -12 64 0
-40 51 5 0
-20 -2 -39 0
57 -30 31 0
-8 55 73 0
24 35 31 0
9 6 -75 0
62 43 71 0
-39 52 -5 0
56 -52 42 0
-72 -1 53 0
-72 18 66 0
-3 -51 -70 0
-9 45 50 0
33 -63 -44 0
-24 -29 30 0
-57 -35 -1 0
-2 -57 43 0
-39 41 -30 0
33 -70 -54 0
-18 -2 43 0
-67 13 66 0
-74 33 27 0
-75 74 -21 0
32 -75 -27 0
21 52 -57 0
25 -62 29 0
-14 71 57 0
-71 67 8 0
-71 -58 -68 0
14 -53 59 0
55 5 -14 0
30 15 28 0
-52 -31 -38 0
11 4 -6 0
59 36 -3 0
-27 -61 -41 0
21 -12 -64 0
-69 -43 -63 0
18 42 66 0
58 28 1 0
3 -55 -54 0
-7 34 6 0
71 75 39 0
39 61 46 0
54 39 -32 0
45 -12 -63 0
59 13 -63 0
46 37 27 0
-13 75 18 0
16 -26 -46 0
-10 42 -72 0
-35 -74 -10 0
22 -35 52 0
37 58 -64 0
37 -19 1 0
-31 -46 60 0
-53 54 -11 0
-1 18 -71 0
68 -18 -51 0
3 32 -12 0
-35 -53 22 0
-21 -36 -66 0
70 1 66 0
26 -57 51 0
34 -55 -40 0
50 2 17 0
-44 -19 -58 0
-68 12 -14 0
56 -45 -70 0
-65 -26 16 0
-53 64 -70 0
-59 19 66 0
-66 65 14 0
-4 -29 56 0
-30 -2 -71 0
58 -14 -50 0
17 31 -30 0
-4 -22 -47 0
22 -41 40 0
-1 26 25 0
-68 58 -44 0
-36 -49 -9 0
-33 -16 -31 0
-64 -32 21 0
-20 -55 56 0
-38 41 28 0
-21 41 7 0
-45 -64 30 0
8 -55 39 0
18 -10 -36 0
-62 63 26 0
35 -8 54 0
-75 -38 -35 0
17 47 -54 0
-6 -42 57 0
55 20 -61 0
21 -17 -28 0
51 7 -6 0
-62 -11 17 0
20 -23 -72 0
35 51 38 0
-23 49 61 0
65 34 -37 0
71 -19 38 0
42 -46 -63 0
41 -13 26 0
1 39 4 0
34 -56 43 0
26 -24 56 0
-35 -51 42 0
35 73 22 0
60 19 66 0
-65 4 -47 0
-9 29 -33 0
40 -69 -58 0
31 -11 18 0
1 -53 -14 0
-32 8 -23 0
73 -43 -63 0
50 -69 11 0
54 53 -30 0
-7 -4 -45 0
-44 21 20 0
-74 42 43 0
-1 32 -9 0
-60 43 61 0
21 30 33 0
