c Random 3-SAT
c alpha=3.0, N=75, L=225, instance=5
p cnf 75 225
67 -37 -32 0
-1 52 36 0
52 63 42 0
7 4 -28 0
-5 25 -31 0
52 8 -4 0
-46 -43 -22 0
-20 33 -42 0
9 -4 50 0
-56 -37 -60 0
34 18 -65 0
-45 10 -16 0
56 -7 24 0
48 9 17 0
28 -30 -27 0
74 -56 9 0
-70 -62 26 0
60 74 32 0
-1 -56 47 0
57 -73 -31 0
-9 -15 -57 0
75 37 64 0
41 40 -37 0
13 18 4 0
40 -1 6 0
-40 -31 -52 0
-5 25 53 0
4 -64 66 0
-29 -3 -23 0
5 42 -70 0
28 32 17 0
-23 -15 54 0
44 -52 -18 0
23 14 56 0
1 64 34 0
72 -52 -7 0
-27 -24 40 0
-44 -18 35 0
54 -50 -13 0
-37 27 -14 0
-38 71 31 0
47 62 39 0
-43 -4 12 0
31 -36 -47 0
-41 -11 53 0
-30 14 -13 0
-50 47 -3 0
23 -35 -74 0
-25 -59 -51 0
71 -18 -11 0
26 13 59 0
74 5 -54 0
-8 -65 -5 0
57 39 49 0
-21 25 -5 0
-69 -5 21 0
-37 -57 75 0
-40 37 -1 0
24 -41 12 0
-67 -6 -22 0
-53 37 -26 0
-9 68 -74 0
-75 61 -31 0
49 33 -65 0
-2 71 59 0
71 11 -16 0
57 32 30 0
-74 23 33 0
-17 50 -52 0
16 -43 -8 0
-63 17 25 0
25 -60 -31 0
48 64 39 0
10 -51 -19 0
-17 -26 -27 0
13 68 -59 0
-5 -68 -16 0
-50 65 -8 0
-59 58 36 0
-63 46 33 0
68 -3 2 0
-58 20 74 0
21 65 -57 0
-3 75 -47 0
-51 57 -20 0
-1 -25 75 0
15 5 74 0
43 40 68 0
-16 -1 -49 0
56 -52 63 0
-52 63 42 0
27 4 30 0
-37 -55 12 0
-24 -27 -13 0
50 41 47 0
-55 -18 -53 0
42 20 28 0
-69 54 -13 0
43 -45 54 0
-40 55 -53 0
-72 3 -31 0
47 -56 14 0
-65 23 4 0
-54 -36 -50 0
29 -23 -74 0
-4 -31 -1 0
57 -75 8 0
14 43 -2 0
49 -15 -36 0
-59 30 15 0
61 7 -35 0
-47 -29 -65 0
41 5 -56 0
6 46 -20 0
48 -22 5 0
-51 25 -24 0
-42 20 57 0
-16 -24 36 0
11 -74 -15 0
38 9 21 0
74 17 -18 0
-70 -52 -55 0
55 21 -32 0
-22 -63 50 0
12 9 45 0
14 -39 -46 0
24 -47 3 0
58 1 4 0
40 -41 -69 0
11 71 -67 0
2 10 45 0
68 -51 54 0
30 -54 -6 0
-74 -51 -68 0
56 -61 26 0
-56 -43 -21 0
-6 -12 -38 0
26 14 -65 0
74 -43 20 0
37 -45 27 0
-26 25 74 0
-35 33 70 0
44 -15 21 0
-31 39 16 0
-55 49 48 0
71 -65 64 0
-53 32 34 0
68 37 25 0
72 5 -9 0
-9 -74 52 0
31 48 57 0
49 38 27 0
6 -9 53 0
-39 -64 -70 0
-15 -24 4 0
56 3 55 0
57 -33 32 0
-55 -66 -16 0
28 -3 -44 0
10 -43 -74 0
-74 -16 22 0
-25 -16 22 0
-40 -20 -63 0
56 2 -57 0
19 -28 16 0
-8 -14 69 0
-5 2 -66 0
-15 28 48 0
-32 -58 -11 0
23 -41 -59 0
32 67 -72 0
-30 37 60 0
61 -3 -26 0
-47 -73 -49 0
4 -64 -22 0
-54 -6 33 0
-33 -35 -49 0
-45 67 -70 0
41 -27 -57 0
42 22 24 0
54 -47 50 0
-58 -43 39 0
-12 -21 71 0
-61 28 40 0
-10 -47 37 0
7 -74 -70 0
-37 25 -39 0
-47 -15 30 0
-28 -27 -29 0
11 -52 26 0
2 41 -61 0
69 -54 59 0
-53 45 -26 0
-5 -10 71 0
-21 -47 30 0
-19 15 -2 0
-4 40 49 0
58 18 -31 0
69 -44 48 0
56 44 65 0
-55 -12 64 0
4 26 -55 0
31 8 34 0
46 -17 6 0
58 67 -72 0
-11 22 -30 0
-11 -21 32 0
-52 24 62 0
3 63 -49 0
49 -50 25 0
18 40 34 0
12 10 46 0
-56 8 -20 0
-3 20 12 0
40 -50 4 0
-22 20 16 0
-40 -36 10 0
-37 49 -17 0
-53 -50 -64 0
23 26 69 0
27 -53 67 0
-3 19 74 0
-11 20 30 0
73 39 51 0
28 -50 -62 0

c GPT solve time: 0.63 seconds

* SATISFIABLE  
* Number of branches: 42  
* Number of conflicts: 17
