c Random 3-SAT
c alpha=2.5, N=75, L=187, instance=2
p cnf 75 187
-24 52 74 0
12 67 29 0
-69 -43 -27 0
-37 64 54 0
40 19 7 0
-48 -4 -9 0
-59 73 -48 0
42 11 60 0
-61 57 -53 0
-43 74 -55 0
27 6 56 0
-63 -44 -9 0
-39 -51 -67 0
35 -17 -2 0
24 -44 -41 0
53 -31 -12 0
-37 -9 -19 0
-68 -30 -11 0
-3 13 -47 0
-59 -38 53 0
38 -13 37 0
57 11 54 0
29 38 -26 0
-62 65 25 0
-24 -22 -39 0
66 -57 -26 0
1 21 13 0
-55 29 37 0
14 66 -75 0
-70 -10 -58 0
-30 43 -69 0
1 49 66 0
-25 -45 14 0
-57 -71 -59 0
-72 -29 -49 0
45 -25 -50 0
70 -52 -73 0
-69 -27 30 0
-50 -27 -42 0
-63 -1 -29 0
-29 -62 58 0
-58 -38 52 0
17 6 39 0
7 40 55 0
23 10 75 0
19 59 -3 0
-49 -26 -7 0
-55 -34 1 0
-53 -33 -37 0
-14 61 46 0
7 -15 66 0
-63 12 65 0
6 -38 18 0
30 -68 -22 0
74 -37 -33 0
-54 32 31 0
-74 49 16 0
43 68 -64 0
56 2 39 0
-63 31 -26 0
62 11 -36 0
23 42 -13 0
-41 -57 49 0
37 -9 -10 0
41 -68 -22 0
-23 -9 46 0
13 25 -7 0
67 25 -57 0
-59 46 -52 0
57 -22 -73 0
49 -36 5 0
-7 75 -34 0
49 -1 4 0
-14 36 -9 0
17 -21 20 0
-56 58 53 0
75 29 -44 0
-61 20 -6 0
1 -29 30 0
-6 -21 33 0
61 -34 -31 0
51 35 -5 0
3 52 10 0
30 -19 -65 0
-43 10 -29 0
17 -54 55 0
9 70 -24 0
71 -68 25 0
-31 70 -41 0
-15 -49 55 0
45 41 61 0
-21 68 -31 0
51 40 74 0
-35 9 -54 0
-37 15 22 0
5 -59 -58 0
-61 -49 -41 0
-43 45 67 0
-71 75 -6 0
-51 -36 -66 0
24 32 53 0
66 60 13 0
-70 33 -53 0
-59 -58 -68 0
-28 68 30 0
-24 -25 -72 0
-53 32 -19 0
13 60 30 0
-19 -59 52 0
-50 7 34 0
-16 56 20 0
-20 -60 -4 0
-16 8 -9 0
51 -6 -37 0
-35 32 -74 0
-7 -25 38 0
72 -61 -71 0
66 40 61 0
9 -23 -15 0
10 -73 -34 0
-75 47 -21 0
-63 -47 -1 0
4 -36 -70 0
62 -3 -30 0
3 -11 -49 0
-34 -66 -57 0
-21 -35 -51 0
-29 -59 26 0
-39 72 -57 0
-12 28 -32 0
-56 -16 59 0
38 50 70 0
54 6 43 0
61 10 -3 0
-58 17 26 0
-40 19 49 0
-64 12 -28 0
22 68 20 0
74 32 -4 0
-44 63 -25 0
-11 -37 59 0
-32 -50 -27 0
35 69 17 0
7 21 -55 0
-3 38 -28 0
-50 70 -42 0
2 -42 -40 0
5 29 36 0
36 14 -5 0
23 -35 -18 0
-57 48 -66 0
34 59 20 0
62 17 48 0
-72 -6 -44 0
6 32 -41 0
-26 10 -39 0
9 74 66 0
68 -5 -50 0
18 -22 -8 0
-53 59 -20 0
50 11 59 0
-72 -41 27 0
38 34 54 0
61 59 -48 0
-37 27 -24 0
53 -1 -8 0
57 -29 -37 0
29 -71 -48 0
-18 69 -7 0
-29 39 -23 0
18 8 -21 0
-5 30 -71 0
26 24 67 0
-29 -55 -72 0
-5 -64 50 0
19 -16 8 0
-50 48 -13 0
44 -73 23 0
35 -1 -75 0
-53 7 28 0
-31 59 1 0
-2 -69 75 0
49 -56 21 0
59 -19 -40 0
61 29 57 0
-11 49 -1 0
-34 19 -48 0

c GPT solve time: 1.04 seconds

SATISFIABLE  
Number of branches: 17  
Number of conflicts: 6
