c Random 3-SAT
c alpha=5.0, N=75, L=375, instance=8
p cnf 75 375
-17 -11 -72 0
41 2 -7 0
-35 -28 48 0
-71 65 13 0
58 -9 14 0
-32 39 -61 0
-16 -22 -41 0
16 -1 -32 0
-13 -40 14 0
-74 -60 -59 0
75 -12 -33 0
-32 -18 45 0
33 -67 4 0
-2 -75 -21 0
-20 -73 -71 0
-17 -18 1 0
50 67 -40 0
-58 -55 -25 0
-10 44 2 0
11 -69 -31 0
-53 44 49 0
69 65 -70 0
-40 -46 11 0
-7 -46 -60 0
-69 -49 -53 0
-72 -1 -43 0
-15 -74 22 0
44 -30 74 0
19 -10 -26 0
9 -58 -33 0
-40 59 -11 0
65 17 -47 0
-27 -41 -56 0
1 72 -49 0
-9 -19 -10 0
-45 -68 72 0
-56 8 44 0
-24 -12 28 0
62 32 19 0
-47 -31 -10 0
60 -16 -70 0
1 24 20 0
-26 -38 55 0
55 40 -15 0
-66 -9 -29 0
-24 -9 -40 0
67 -9 -35 0
36 5 -70 0
17 56 29 0
-21 -48 45 0
-10 -68 -64 0
-51 72 20 0
31 1 52 0
55 10 73 0
-72 -37 -43 0
-46 12 39 0
27 24 66 0
2 -40 -58 0
28 -12 22 0
39 -50 -3 0
9 -56 -67 0
-14 70 63 0
5 -55 -25 0
-26 -17 25 0
6 -46 -55 0
-49 -39 -12 0
-49 63 5 0
-43 -21 -22 0
-55 -60 14 0
-59 51 -31 0
-31 -53 43 0
-23 -48 -31 0
73 41 57 0
49 -2 -36 0
-46 -69 45 0
33 35 31 0
20 51 32 0
-17 -70 71 0
72 53 -16 0
41 63 -29 0
3 37 -68 0
34 -50 41 0
-46 20 29 0
-73 -13 40 0
-2 75 69 0
27 72 -45 0
65 -48 -9 0
-60 -26 41 0
-42 -64 -20 0
4 -22 7 0
-64 20 -18 0
22 -39 -41 0
-52 29 54 0
-74 21 -33 0
-73 66 -67 0
59 -62 -54 0
3 26 29 0
-72 -2 -73 0
-7 52 62 0
46 -65 -70 0
37 -13 -42 0
66 -24 2 0
-27 45 -71 0
-69 -48 -39 0
36 -25 -9 0
68 -24 -56 0
-15 -50 48 0
4 34 3 0
-17 12 -13 0
34 -59 -72 0
44 10 4 0
-64 53 -38 0
-15 70 31 0
10 63 -2 0
-59 34 -62 0
32 68 -35 0
-23 -20 -51 0
-58 43 75 0
38 35 -57 0
-34 39 51 0
40 -19 33 0
-73 50 -17 0
69 26 -58 0
-14 41 -67 0
70 -51 -24 0
-72 59 -14 0
64 63 30 0
28 -34 74 0
-24 7 6 0
28 66 -30 0
-46 4 65 0
-8 7 -20 0
31 -4 74 0
-14 -63 -7 0
26 -45 55 0
-5 60 33 0
-59 -42 -3 0
-26 34 48 0
-21 -73 26 0
43 -19 54 0
-1 -13 47 0
-17 67 68 0
-62 -36 53 0
-60 13 5 0
-25 12 53 0
48 -32 67 0
-24 -68 9 0
-53 38 -47 0
3 -58 30 0
-24 64 12 0
-24 5 -11 0
46 -74 61 0
-18 -35 53 0
-20 53 12 0
-42 64 -43 0
-53 28 -69 0
74 3 21 0
61 -20 56 0
-48 -49 9 0
-45 -27 -21 0
-34 74 12 0
35 -12 -62 0
58 27 19 0
-33 -21 -16 0
-62 30 64 0
65 -61 16 0
-39 -75 38 0
47 29 -53 0
66 -14 56 0
39 52 48 0
-16 2 52 0
-10 16 15 0
-41 -8 1 0
-18 -16 -26 0
-47 17 48 0
-66 -5 8 0
-17 -1 72 0
48 -4 55 0
-42 58 -64 0
-16 47 50 0
-55 73 -19 0
40 27 -39 0
50 -51 -26 0
-42 5 66 0
32 1 75 0
1 -64 59 0
-74 -46 -37 0
12 43 40 0
53 -35 36 0
-10 74 6 0
43 40 60 0
-12 -71 3 0
-60 -5 -53 0
-26 -38 -31 0
5 40 64 0
3 -25 51 0
-30 10 -2 0
-34 -31 -40 0
63 -56 18 0
-69 34 -47 0
68 7 23 0
-50 69 58 0
-70 -7 4 0
-35 21 60 0
53 47 28 0
-17 -12 -48 0
-2 -65 49 0
-72 59 45 0
20 -44 30 0
-39 28 -7 0
73 -38 13 0
-18 -56 39 0
-67 -45 -43 0
21 -30 10 0
47 31 -52 0
-11 2 -44 0
-31 -48 -55 0
-27 33 71 0
-70 44 75 0
-20 -38 -59 0
-49 -40 -54 0
-50 -4 -61 0
-52 -63 -75 0
-31 58 21 0
-17 57 25 0
-33 -34 -67 0
-12 -3 44 0
18 -20 66 0
-2 -60 22 0
31 -42 18 0
44 55 29 0
-14 11 -13 0
-2 36 -24 0
69 15 46 0
70 51 -27 0
75 3 19 0
-60 -24 -52 0
-25 59 -13 0
-56 -53 42 0
-75 -42 -31 0
-31 -44 11 0
74 54 -37 0
44 27 60 0
31 59 24 0
-16 8 -37 0
-1 17 29 0
-49 23 -70 0
74 35 56 0
6 -47 72 0
-58 30 -64 0
46 45 -24 0
-16 75 21 0
16 -62 29 0
25 -40 56 0
28 45 14 0
-16 21 -12 0
-24 -49 31 0
20 -45 -51 0
-60 35 26 0
7 17 75 0
47 -5 56 0
73 35 75 0
40 49 -66 0
-8 -40 16 0
53 -27 34 0
62 -15 45 0
58 -19 -52 0
69 39 46 0
-28 -30 69 0
-22 -16 -19 0
37 54 -30 0
-54 -37 -35 0
-28 52 44 0
48 16 -60 0
-42 36 -65 0
-39 13 -33 0
59 -64 -15 0
-74 2 -6 0
71 -73 54 0
30 54 -68 0
32 34 60 0
9 -15 24 0
-11 -2 34 0
-10 56 -3 0
-41 37 11 0
-54 58 -57 0
25 51 -18 0
1 -14 6 0
-57 54 -35 0
2 -39 -66 0
32 -68 -37 0
30 -38 -55 0
44 -6 -19 0
52 -15 -42 0
6 -22 4 0
-26 44 -69 0
-32 -43 -3 0
-55 53 63 0
-15 -48 -63 0
4 -37 11 0
-68 49 -13 0
35 -30 62 0
74 -62 -35 0
31 19 37 0
-24 -62 -13 0
75 -22 -71 0
-62 12 4 0
26 64 -69 0
4 59 -3 0
65 -63 47 0
-11 -39 42 0
69 -18 17 0
41 -73 -56 0
-49 26 69 0
49 70 9 0
-20 -55 39 0
7 64 11 0
-26 -67 21 0
56 52 -72 0
44 56 -16 0
-26 22 54 0
-59 -31 19 0
-3 -54 -45 0
-30 -11 -15 0
-38 54 -5 0
16 50 55 0
25 -4 51 0
37 46 9 0
30 -4 -40 0
39 30 46 0
-49 -8 -7 0
-20 -49 -25 0
-74 8 -33 0
-43 42 -9 0
-6 10 61 0
-17 44 -28 0
69 58 17 0
37 3 25 0
-22 9 -68 0
15 -44 -21 0
71 4 -37 0
-35 -26 -23 0
-74 -72 -52 0
60 -4 -8 0
52 -20 14 0
-73 16 21 0
44 -61 65 0
27 -29 33 0
26 9 30 0
4 -15 -74 0
65 -46 -3 0
-50 12 15 0
-23 17 -74 0
65 -55 -37 0
35 74 -61 0
73 54 38 0
22 -57 74 0
-26 -65 43 0
-13 22 -15 0
-37 -42 -1 0
-36 46 -32 0
41 38 -72 0
-39 1 -34 0
74 62 53 0
-43 50 -64 0
4 -52 -14 0
-45 -7 12 0
72 -45 -74 0
-14 56 32 0
57 -34 -26 0
60 -25 9 0
-12 -22 41 0
-58 38 45 0
-68 -25 -52 0
68 38 44 0

c GPT solve time: 20.70 seconds

SATISFIABLE
Number of branches: 1
Number of conflicts: 0
