c Random 3-SAT
c alpha=3.5, N=75, L=262, instance=5
p cnf 75 262
1 23 56 0
-24 -68 -73 0
-14 56 -55 0
41 -13 67 0
63 -16 26 0
35 -13 -17 0
-64 -1 12 0
-50 -36 -13 0
60 23 -67 0
31 -48 -9 0
-31 57 -24 0
-70 12 44 0
-43 72 52 0
-53 -18 34 0
37 -31 72 0
5 -51 19 0
43 -67 46 0
73 50 -60 0
-7 62 44 0
25 47 -7 0
28 57 -66 0
-40 8 49 0
-30 -16 -11 0
71 -43 13 0
-65 -56 41 0
-54 74 15 0
-50 6 -16 0
-8 -5 -17 0
-2 -43 -15 0
-32 42 7 0
-10 -34 23 0
61 69 -22 0
-9 -61 -69 0
-6 -69 72 0
41 -26 -17 0
-50 -5 -39 0
51 75 -2 0
-54 44 71 0
-20 60 56 0
62 -61 22 0
21 54 -39 0
-14 -22 -27 0
5 -65 16 0
30 -11 57 0
-25 -63 18 0
64 42 -18 0
-61 -20 6 0
45 -71 -1 0
-44 -23 -22 0
47 -70 1 0
18 16 26 0
66 -20 -43 0
30 -25 14 0
33 44 -34 0
-32 46 4 0
-15 -29 59 0
-17 46 61 0
-5 -60 17 0
-56 -41 -33 0
-31 75 21 0
-45 39 53 0
45 4 74 0
17 -1 20 0
-53 57 -38 0
36 33 -50 0
32 -64 4 0
45 73 42 0
-55 73 -32 0
75 -44 30 0
-8 -70 47 0
12 56 -51 0
-30 2 -52 0
22 63 -24 0
-9 69 12 0
-56 62 -32 0
-62 -40 -45 0
-41 -15 -46 0
19 39 -22 0
33 -39 18 0
39 -25 29 0
-15 -59 35 0
59 -39 -20 0
29 -48 -50 0
64 -21 26 0
-12 -27 -37 0
-75 16 69 0
3 -56 17 0
15 -54 52 0
73 71 8 0
9 -64 5 0
-15 -3 19 0
-12 -14 13 0
19 -29 -4 0
-21 -32 75 0
60 59 -63 0
-35 -20 -37 0
-73 32 -49 0
-56 20 41 0
61 -65 -59 0
-32 -53 -75 0
-19 -15 45 0
70 -59 -15 0
-46 -48 -56 0
74 -59 16 0
13 -33 58 0
-30 64 -49 0
-72 50 -40 0
-40 59 -62 0
49 52 -57 0
-70 49 -67 0
5 -65 46 0
3 -70 34 0
-54 63 -8 0
-37 -65 42 0
44 -21 -28 0
66 -21 23 0
71 -47 -29 0
-16 -52 -17 0
25 36 27 0
-12 35 -11 0
13 38 7 0
-38 -33 -35 0
44 10 -39 0
74 3 -15 0
32 -58 69 0
56 2 62 0
2 -40 17 0
-15 -9 65 0
-54 -35 -12 0
-49 72 36 0
45 66 48 0
72 11 67 0
-63 52 -31 0
24 -63 -69 0
53 -41 18 0
73 -42 5 0
37 3 -55 0
-65 -27 56 0
-62 72 5 0
-63 -9 -12 0
-53 73 -12 0
43 56 35 0
4 62 -6 0
-17 33 -52 0
-15 -50 -59 0
-66 -11 9 0
-59 48 -17 0
36 -51 -37 0
55 -27 54 0
-52 61 46 0
-70 -62 25 0
14 58 -61 0
-8 -23 57 0
-67 -28 -27 0
-34 -55 -19 0
-13 -55 -52 0
-69 -36 33 0
-26 -43 -5 0
5 -62 13 0
43 59 -25 0
-27 -73 -20 0
42 37 -53 0
-58 28 62 0
60 50 -32 0
72 3 -9 0
-67 32 -42 0
52 60 -29 0
2 -65 60 0
-30 -35 5 0
60 -40 72 0
44 22 30 0
-4 -69 53 0
-65 -73 59 0
69 -45 31 0
-29 2 21 0
75 -33 16 0
-24 15 -68 0
-29 -44 -28 0
29 -58 32 0
-19 53 -11 0
-5 26 -13 0
-53 -19 -66 0
11 -42 37 0
-19 -50 -49 0
71 22 8 0
-65 54 70 0
5 -15 -9 0
-28 -49 -16 0
34 65 -15 0
-36 -27 -48 0
-71 46 9 0
-14 15 6 0
-4 -52 51 0
21 -34 72 0
-14 50 -68 0
-42 63 -32 0
8 -6 49 0
42 -43 56 0
-4 53 50 0
-65 5 36 0
15 30 62 0
-19 13 10 0
-4 -19 47 0
-7 -52 26 0
66 17 20 0
34 5 71 0
-21 -36 70 0
-11 -25 -48 0
65 28 -32 0
26 42 25 0
48 18 -1 0
55 31 3 0
-64 47 25 0
64 16 36 0
-40 75 4 0
37 47 -31 0
-27 2 -38 0
-31 25 35 0
-59 46 25 0
-53 -13 39 0
5 44 -21 0
37 45 -15 0
16 -58 -14 0
-69 74 17 0
36 -12 -64 0
43 15 -40 0
71 -44 -9 0
74 -22 -6 0
-12 3 66 0
-73 -7 69 0
-74 13 -69 0
24 57 27 0
-62 -45 -5 0
-15 -73 -16 0
11 -73 15 0
-22 -25 61 0
-41 61 -67 0
42 -25 27 0
-21 52 -32 0
6 -4 -40 0
-47 -29 -3 0
36 3 -59 0
-14 -48 63 0
19 -60 12 0
20 57 -34 0
58 25 -51 0
65 57 23 0
-54 60 19 0
23 -71 -15 0
-67 -64 -22 0
-32 -12 43 0
-62 70 -1 0
-48 36 42 0
-64 50 -47 0
23 71 36 0
-70 15 25 0
29 -1 -22 0
65 34 21 0
-24 41 -3 0
51 6 -49 0
28 59 40 0
-73 43 48 0

c GPT solve time: 21.18 seconds

SATISFIABLE
Branches: 1
Conflicts: 0
