c Random 3-SAT
c alpha=4.0, N=75, L=300, instance=15
p cnf 75 300
47 -68 11 0
20 -62 -14 0
-41 -1 -9 0
36 -60 -35 0
15 -26 -4 0
-17 1 43 0
-13 -56 38 0
-26 18 38 0
-39 8 70 0
60 -5 -12 0
-21 15 11 0
26 -48 39 0
25 39 -49 0
-35 18 -27 0
27 3 32 0
2 38 23 0
-30 -27 2 0
3 29 -13 0
66 -58 67 0
12 -22 29 0
24 50 43 0
-3 41 18 0
-56 -12 -6 0
71 -11 9 0
-74 -29 52 0
-70 69 75 0
14 3 -48 0
8 -28 31 0
63 -54 -4 0
-74 37 -15 0
25 -46 34 0
29 24 66 0
-38 -64 -71 0
-64 48 -67 0
-18 -28 -29 0
37 -65 56 0
-27 -6 15 0
-38 10 -7 0
-49 63 -19 0
58 1 64 0
-64 -62 -4 0
-71 -49 55 0
-63 -8 -73 0
55 14 15 0
-34 63 -2 0
-11 12 -74 0
51 39 -50 0
61 -37 46 0
19 -62 26 0
61 8 -10 0
55 2 60 0
-33 40 -9 0
12 73 40 0
-60 -49 -73 0
55 56 -60 0
-18 73 30 0
-29 16 73 0
-3 59 -14 0
38 -15 8 0
-42 57 -32 0
-11 -32 -72 0
57 64 -73 0
-73 10 -28 0
49 -66 -68 0
26 18 -73 0
34 -72 -49 0
-16 3 -30 0
-13 -65 70 0
16 -57 -72 0
71 5 20 0
-23 25 -35 0
-3 73 -33 0
7 10 -11 0
44 -24 67 0
15 47 -26 0
12 -70 -50 0
-68 24 -5 0
63 33 -52 0
-34 -41 67 0
35 45 52 0
14 -55 44 0
-50 -53 36 0
42 11 68 0
25 32 21 0
34 -2 -51 0
29 69 21 0
43 -58 2 0
24 -27 -25 0
-36 -62 -47 0
62 58 -51 0
-70 -38 -75 0
-40 37 -36 0
3 62 67 0
-35 -64 31 0
-50 15 -11 0
51 23 -55 0
-14 41 73 0
62 75 55 0
18 73 -50 0
-49 -9 72 0
-58 -39 64 0
-28 -46 -73 0
-69 20 -51 0
-68 70 -11 0
72 7 40 0
-39 53 -48 0
47 -25 -20 0
23 -21 33 0
-35 -64 27 0
-50 -22 55 0
-19 75 -64 0
-34 -32 -38 0
67 75 30 0
63 -38 -5 0
47 12 -48 0
1 -6 -17 0
47 39 63 0
70 -35 -43 0
-53 -33 19 0
33 4 -8 0
14 60 -10 0
-23 2 -36 0
-48 34 73 0
55 -11 -52 0
10 -2 8 0
42 -43 18 0
5 -53 -58 0
-65 67 -29 0
-29 48 -17 0
-24 -51 28 0
16 52 -13 0
40 47 -68 0
7 -55 16 0
25 61 6 0
-51 -10 -60 0
-43 61 5 0
-24 21 -42 0
31 70 1 0
24 8 69 0
-29 49 69 0
-23 -57 -8 0
15 -66 32 0
35 74 29 0
-9 72 -64 0
9 -31 57 0
18 -8 11 0
-52 -16 -19 0
-63 19 -7 0
-28 -69 3 0
40 4 -8 0
-22 -73 -61 0
38 -62 -17 0
56 53 52 0
-55 -16 -19 0
-8 -5 41 0
65 4 36 0
45 -66 68 0
-41 4 -42 0
14 -62 39 0
-8 22 -31 0
59 33 -69 0
12 57 -45 0
-61 68 -24 0
54 6 36 0
-39 -71 -63 0
