c Random 3-SAT
c alpha=3.0, N=75, L=225, instance=2
p cnf 75 225
-59 65 35 0
-16 -2 -13 0
-75 18 66 0
2 16 4 0
1 75 -47 0
-57 -23 -22 0
-53 -12 58 0
-67 -6 -2 0
42 50 -17 0
32 72 2 0
-67 -59 -21 0
72 52 -56 0
-51 -18 22 0
-33 8 28 0
58 -7 -48 0
40 -21 -4 0
-64 28 27 0
-39 40 75 0
-53 -34 59 0
-12 -48 52 0
45 54 6 0
-72 -50 16 0
-50 43 23 0
-21 19 51 0
-41 -21 -30 0
-23 -18 1 0
18 51 75 0
-10 23 36 0
-51 29 -14 0
68 51 -23 0
-7 59 -51 0
73 25 -12 0
72 65 -73 0
-37 -14 71 0
-44 19 -74 0
13 75 73 0
36 -12 -8 0
-20 32 7 0
51 -26 -41 0
-37 13 69 0
-9 20 -49 0
50 -17 65 0
41 -70 7 0
54 55 -73 0
23 38 -68 0
-34 6 49 0
33 -11 -63 0
-15 58 40 0
11 -10 -4 0
67 -64 53 0
-55 52 58 0
5 15 27 0
-10 27 -74 0
-29 20 59 0
-23 -73 -47 0
9 51 -38 0
71 44 39 0
-28 33 -46 0
5 -7 -60 0
74 -35 -30 0
-12 -75 42 0
-68 65 58 0
63 -12 15 0
-6 27 -42 0
6 13 33 0
-49 37 -24 0
53 25 24 0
-67 25 75 0
-75 -7 -14 0
-8 55 -24 0
40 28 -34 0
-69 -29 -45 0
54 5 73 0
63 -7 37 0
-67 12 17 0
18 70 -75 0
-71 -4 18 0
52 -39 32 0
-52 -64 -1 0
-46 -60 -74 0
33 -41 15 0
-38 -27 47 0
75 35 -27 0
27 -15 21 0
-51 39 -21 0
28 -43 -51 0
-15 -39 50 0
-20 -3 -42 0
-55 -10 -72 0
2 -24 46 0
-27 28 20 0
-18 35 -7 0
-68 -66 43 0
-34 -75 26 0
-59 31 -25 0
55 -39 64 0
-17 -67 10 0
70 57 34 0
3 12 7 0
-21 42 54 0
74 28 56 0
-36 -45 39 0
18 -56 -53 0
-29 -28 -36 0
52 -12 -25 0
-34 -73 -16 0
-16 32 -54 0
59 -28 -61 0
46 55 1 0
-20 19 -28 0
-71 -45 54 0
-73 64 -52 0
-71 37 -11 0
47 -1 15 0
24 -47 -10 0
-62 75 34 0
69 5 -71 0
-63 -20 37 0
10 32 -73 0
6 34 50 0
-42 12 60 0
-67 52 1 0
-59 9 -26 0
17 29 -70 0
-72 65 -56 0
-67 24 57 0
-48 71 -49 0
-41 60 -70 0
-40 -72 68 0
15 -28 56 0
59 74 -44 0
1 -55 40 0
74 46 -41 0
-72 75 13 0
3 25 -48 0
15 -13 -26 0
-25 -56 -69 0
-23 -42 27 0
-12 34 -18 0
-72 -31 2 0
26 8 74 0
-57 -48 24 0
-17 -10 75 0
5 -51 -49 0
-29 63 -55 0
19 -2 -50 0
-37 -72 20 0
17 -74 12 0
-6 -32 -54 0
41 26 35 0
-25 8 -13 0
14 31 1 0
-29 -9 58 0
-41 63 74 0
32 51 -66 0
48 -60 42 0
24 48 60 0
-8 -49 17 0
35 18 -58 0
-56 -67 -65 0
-62 3 56 0
-13 28 -36 0
39 5 35 0
-43 4 42 0
50 21 31 0
1 -61 24 0
25 -70 58 0
-33 74 60 0
48 5 -6 0
73 25 -29 0
-75 1 -19 0
56 -36 23 0
60 27 67 0
13 -71 -51 0
40 -43 55 0
-48 -69 -40 0
35 31 68 0
65 -26 -4 0
25 5 55 0
39 3 -35 0
25 28 56 0
-34 53 -20 0
-20 69 59 0
-60 66 52 0
60 -67 -29 0
21 -63 9 0
71 54 17 0
-19 66 36 0
45 -43 15 0
3 24 43 0
-3 -40 74 0
-12 38 -74 0
64 15 -16 0
-10 -39 46 0
-23 24 -6 0
-32 -48 6 0
-66 -63 -61 0
-53 -51 -52 0
26 -18 42 0
-20 39 -37 0
48 67 57 0
69 50 -28 0
13 72 -14 0
-8 -38 47 0
8 17 -59 0
-51 -52 -1 0
9 55 38 0
-44 -51 -21 0
37 -54 5 0
-39 -33 38 0
-21 -38 -18 0
-2 19 -10 0
28 39 9 0
-34 -32 4 0
68 -26 20 0
-29 12 2 0
-65 54 9 0
32 48 -16 0
-45 -31 -50 0
-31 63 29 0
3 -35 -32 0
-42 9 61 0
69 -66 7 0
25 -14 -6 0
51 -17 -30 0

c GPT solve time: 1.13 seconds

SATISFIABLE  
Number of branches: 0  
Number of conflicts: 0
