c Random 3-SAT
c alpha=4.0, N=75, L=300, instance=20
p cnf 75 300
-71 -32 -5 0
52 49 -33 0
-56 58 63 0
70 -9 12 0
-69 32 -70 0
-37 -73 74 0
52 -48 -36 0
61 -36 2 0
-43 74 -41 0
57 -8 -19 0
12 -61 -23 0
-50 -68 -55 0
24 70 39 0
63 33 46 0
34 14 -55 0
-46 66 45 0
-50 16 -38 0
-7 52 67 0
46 75 -11 0
-14 -47 67 0
58 19 -57 0
75 -6 -3 0
22 -5 35 0
-39 61 -1 0
64 48 -37 0
62 19 10 0
-74 30 -43 0
-7 26 4 0
-65 63 59 0
67 4 39 0
54 -22 -68 0
48 -13 -58 0
-45 6 -36 0
29 15 8 0
-31 -73 -55 0
50 66 59 0
70 12 17 0
-67 -8 -40 0
51 39 57 0
-57 -23 -66 0
-38 72 27 0
-39 -74 -1 0
-27 -42 26 0
13 -29 23 0
75 1 -24 0
74 62 -52 0
-20 -13 -74 0
-42 65 31 0
63 -8 48 0
-5 75 -49 0
-52 -9 -45 0
64 15 4 0
23 -28 -17 0
-15 -4 61 0
71 19 -56 0
-74 -52 26 0
34 -62 16 0
11 9 66 0
22 49 -52 0
16 14 19 0
35 15 67 0
-16 23 1 0
56 62 -27 0
72 29 -42 0
-14 51 46 0
-14 -66 22 0
-23 10 -22 0
25 -3 32 0
18 2 -46 0
-47 -75 -38 0
49 10 40 0
-69 -39 54 0
-64 -67 -6 0
-25 -8 -61 0
-29 6 -72 0
-22 32 -11 0
17 75 -26 0
29 1 57 0
3 18 20 0
-2 57 -47 0
30 -18 12 0
7 21 -45 0
45 54 14 0
5 15 74 0
67 5 -22 0
-15 -63 -10 0
-35 -63 -56 0
-42 -70 -33 0
-21 71 -12 0
6 -72 52 0
33 -28 -47 0
1 -57 -43 0
-53 32 -51 0
-9 14 71 0
-29 -67 -47 0
-19 46 -66 0
28 69 33 0
1 -38 43 0
-18 34 43 0
5 63 44 0
64 47 -17 0
22 20 -48 0
-21 -55 -74 0
15 53 -67 0
34 -16 -57 0
37 -11 -38 0
62 -46 -49 0
-59 -12 45 0
-49 36 -3 0
-22 -21 39 0
-28 5 29 0
-7 15 -35 0
10 -56 71 0
-2 37 47 0
-4 43 25 0
-50 -39 48 0
13 50 22 0
-27 5 23 0
8 -18 67 0
11 -36 -16 0
32 -8 12 0
74 26 -72 0
-30 -69 -57 0
-9 59 45 0
-62 13 45 0
62 -73 63 0
-28 -22 -32 0
-26 1 22 0
34 48 57 0
39 58 -31 0
31 65 48 0
35 19 1 0
65 24 -25 0
15 -50 -2 0
-68 -48 -29 0
-36 69 -70 0
3 -12 61 0
-41 11 31 0
20 -41 -61 0
-42 5 47 0
-55 45 -36 0
-57 5 45 0
-20 -58 23 0
-35 62 4 0
67 -42 24 0
-12 -33 -13 0
-9 -34 16 0
1 -11 -19 0
17 -71 -14 0
13 -14 25 0
-11 22 34 0
-8 -18 -16 0
-3 -54 7 0
33 51 -55 0
10 -66 61 0
72 -38 8 0
-71 -46 60 0
-27 62 -42 0
-22 11 -75 0
1 -63 54 0
-37 -46 -70 0
-62 -15 -51 0
47 -11 -18 0
70 -16 17 0
-75 49 -18 0
-3 -70 53 0
-53 69 -1 0
52 71 -23 0
-64 44 57 0
3 10 -39 0
-35 7 -62 0
43 28 -32 0
2 -59 6 0
-43 68 -16 0
44 72 42 0
-36 -72 -68 0
38 -48 41 0
-37 -45 59 0
46 75 -20 0
-1 9 28 0
59 -36 40 0
33 -2 -48 0
-5 26 -71 0
66 15 47 0
-26 73 38 0
-38 -68 29 0
1 10 -5 0
