c Random 3-SAT
c alpha=1.5, N=75, L=112, instance=1
p cnf 75 112
7 55 61 0
48 -59 -24 0
21 -54 -33 0
-55 -67 28 0
62 -30 -7 0
-69 29 -48 0
-16 -71 -19 0
57 -26 31 0
29 -8 68 0
-11 50 57 0
23 -36 -25 0
-74 -53 -67 0
10 -65 32 0
-15 69 -37 0
-43 15 62 0
-57 62 17 0
1 59 62 0
18 42 -34 0
20 70 53 0
11 73 61 0
-74 34 -51 0
-40 -4 21 0
19 36 -28 0
-41 35 27 0
10 -27 35 0
-67 69 63 0
59 -21 19 0
-56 -4 -18 0
2 -10 -15 0
-75 46 1 0
-1 70 -11 0
44 4 -14 0
54 -4 -63 0
-8 -59 -73 0
-2 45 66 0
-21 -47 -23 0
-46 -52 -25 0
50 51 37 0
-8 -61 51 0
52 -56 -58 0
24 43 20 0
-42 24 -11 0
69 -16 60 0
-8 71 12 0
3 39 -51 0
66 -16 -44 0
-5 -58 75 0
27 21 40 0
-37 54 -10 0
-18 -3 -2 0
18 -10 -5 0
41 -40 27 0
3 2 -75 0
72 27 -18 0
67 17 -46 0
75 -73 -72 0
13 -48 -27 0
-49 23 65 0
44 -30 9 0
47 29 -61 0
9 59 4 0
36 53 -5 0
59 63 49 0
-11 60 -44 0
-48 46 14 0
-70 43 -75 0
-30 16 -25 0
-4 22 18 0
48 17 -15 0
58 -26 -41 0
-29 -12 44 0
21 -71 -20 0
73 53 -13 0
-12 56 53 0
29 -40 -60 0
-29 -26 -58 0
-29 -47 53 0
-5 20 7 0
60 -20 -28 0
43 -16 22 0
-71 -22 -30 0
20 8 -51 0
47 -26 -3 0
-36 20 -1 0
-9 15 24 0
-14 8 10 0
-5 52 36 0
-7 48 -58 0
-1 39 57 0
-72 -60 14 0
-32 64 47 0
-71 -41 52 0
40 18 16 0
71 -55 -66 0
28 10 11 0
-74 -1 50 0
-15 -10 -52 0
-37 39 69 0
53 -39 30 0
-63 52 59 0
25 -9 -28 0
-5 45 -25 0
-66 -39 28 0
7 46 6 0
-7 61 -41 0
73 -74 -46 0
-6 71 72 0
-35 -13 53 0
-49 41 68 0
-18 -70 -74 0
-28 53 -24 0
-42 24 20 0

c GPT solve time: 0.68 seconds

* SATISFIABLE  
* Number of branches: 7  
* Number of conflicts: 2
