c Random 3-SAT
c alpha=3.5, N=75, L=262, instance=4
p cnf 75 262
-31 -65 -4 0
18 -14 -2 0
54 -35 9 0
2 -60 31 0
-55 -30 38 0
-16 73 -10 0
2 65 -38 0
63 -30 46 0
-42 -25 -56 0
64 -5 -17 0
69 -26 7 0
28 -40 32 0
17 -10 -60 0
-55 -67 -30 0
-26 -12 -50 0
18 -22 -44 0
13 35 -14 0
-39 -59 -73 0
2 63 15 0
-8 -39 17 0
46 30 37 0
6 24 52 0
25 -40 50 0
-46 14 29 0
-44 -41 27 0
-13 -7 -75 0
34 46 26 0
30 -41 -51 0
54 20 16 0
41 38 -31 0
55 -69 27 0
19 -41 75 0
67 -46 40 0
-7 -14 -60 0
-37 -6 28 0
-60 70 66 0
25 -13 -7 0
17 -71 60 0
10 50 -7 0
-6 55 13 0
32 -61 -5 0
42 -33 -69 0
9 42 70 0
60 31 24 0
27 72 -75 0
-31 -71 -28 0
-74 68 -57 0
-50 24 72 0
-65 -16 -52 0
9 -11 18 0
16 -15 61 0
72 9 74 0
23 -52 59 0
34 -71 38 0
22 -51 -33 0
22 67 18 0
72 39 11 0
-54 30 -46 0
11 2 -28 0
-39 -58 40 0
-22 -4 23 0
-52 -44 2 0
15 44 -26 0
50 -62 -58 0
-38 -22 52 0
29 -28 51 0
-66 31 -52 0
48 70 20 0
52 -45 62 0
-67 50 -6 0
18 -71 62 0
66 39 -57 0
-32 -55 50 0
17 -23 24 0
-53 -63 -38 0
73 -8 65 0
-42 50 -37 0
25 63 43 0
-9 -50 -2 0
-27 4 -58 0
68 -35 23 0
-29 -39 32 0
26 37 -7 0
52 31 -51 0
-26 1 44 0
60 18 -17 0
57 8 44 0
45 28 -20 0
68 74 -7 0
-10 -69 -4 0
6 -1 32 0
-69 -68 -21 0
-13 35 -52 0
25 61 69 0
-73 -37 23 0
-63 16 -74 0
44 72 -51 0
49 -38 -43 0
27 6 9 0
-22 36 12 0
12 27 -28 0
38 -6 7 0
-2 -35 66 0
-56 -11 4 0
-43 4 24 0
-61 -24 1 0
13 57 40 0
7 64 50 0
-54 71 -75 0
-60 -62 2 0
23 14 65 0
63 1 -10 0
62 -35 -65 0
-17 -32 -3 0
55 44 53 0
47 49 -27 0
-12 68 -15 0
-9 68 -12 0
-27 68 -32 0
-50 -36 -5 0
-74 41 16 0
30 27 -26 0
-47 38 26 0
64 28 -39 0
-37 -61 21 0
-18 42 41 0
21 74 45 0
38 33 24 0
-62 47 10 0
20 -66 -10 0
27 -4 -31 0
51 38 -4 0
-61 -3 64 0
18 36 -2 0
-51 -3 -25 0
69 75 -25 0
75 -28 -16 0
-42 5 -52 0
-31 -35 10 0
-75 -60 54 0
-25 -11 -50 0
-17 -62 57 0
-18 21 49 0
29 67 -6 0
-8 41 -29 0
10 -13 -21 0
-25 -33 57 0
-51 44 10 0
67 42 21 0
63 -26 5 0
-12 -73 -66 0
-12 30 -16 0
44 -7 -30 0
-13 42 7 0
8 -2 71 0
43 22 -32 0
17 50 -57 0
-19 30 12 0
-63 -3 51 0
-62 -45 13 0
75 -72 -56 0
-69 -12 37 0
57 -35 -69 0
-34 21 57 0
6 -55 -4 0
-50 26 -18 0
64 -66 17 0
-69 36 70 0
-3 -17 47 0
-13 29 -58 0
-28 -46 32 0
-66 19 -59 0
28 -56 -48 0
73 1 25 0
55 -2 5 0
-31 52 57 0
-24 72 -32 0
-34 -30 -48 0
-3 23 -57 0
35 25 -50 0
7 -54 13 0
46 63 -6 0
-6 -28 -46 0
30 57 -20 0
30 48 14 0
-31 4 11 0
-40 -52 24 0
19 35 -9 0
-64 40 59 0
32 39 -71 0
-9 27 44 0
6 -2 10 0
-39 -19 58 0
68 -23 7 0
52 -49 27 0
-51 48 72 0
54 1 -24 0
51 46 14 0
16 -29 -54 0
47 55 10 0
-18 51 64 0
64 63 -59 0
68 10 -67 0
15 75 -7 0
-51 66 -45 0
63 22 29 0
-22 -45 32 0
-15 36 -26 0
-24 29 -40 0
-28 -61 -60 0
45 57 12 0
66 31 -49 0
70 -48 5 0
-11 62 -58 0
14 9 -4 0
-58 40 -44 0
-47 36 -72 0
-17 -52 23 0
65 4 -5 0
26 46 67 0
-35 -64 -45 0
-67 -70 40 0
46 -68 -56 0
44 -61 -38 0
60 -45 -72 0
65 38 54 0
23 -30 36 0
5 1 37 0
-47 -29 -40 0
67 -5 21 0
65 -12 -67 0
25 -63 -20 0
-11 -66 38 0
48 56 1 0
-64 14 22 0
-41 -34 -2 0
-40 -33 -43 0
69 -44 -52 0
-48 12 75 0
2 33 71 0
42 -51 -34 0
41 -38 72 0
-57 36 56 0
-52 -74 65 0
-60 -35 -62 0
-41 44 15 0
-33 25 -29 0
-12 60 -75 0
-29 27 69 0
20 -23 48 0
7 72 66 0
-64 15 12 0
21 63 -48 0
-33 62 -40 0
70 10 -37 0
-7 21 38 0
-3 -17 28 0
-55 -12 27 0
41 50 -49 0
-57 52 -44 0
71 64 -31 0
-48 -42 -53 0

c GPT solve time: 21.11 seconds

* SATISFIABLE
* Number of branches: 123
* Number of conflicts: 57
