c Random 3-SAT
c alpha=3.0, N=75, L=225, instance=6
p cnf 75 225
-52 6 19 0
-1 12 72 0
3 -63 -39 0
39 -58 -11 0
-6 -23 -58 0
-75 -41 52 0
-63 55 -26 0
-32 -37 -69 0
-46 66 5 0
69 -59 -36 0
33 -64 13 0
50 -22 -55 0
-9 67 -28 0
-47 -63 -30 0
57 -50 -19 0
-39 13 5 0
12 64 -10 0
3 27 -1 0
-39 -59 -30 0
-73 29 -32 0
27 -50 -1 0
63 44 59 0
64 -30 -50 0
-23 -44 45 0
-29 -59 43 0
16 42 44 0
-50 29 4 0
-41 53 32 0
-17 71 -24 0
37 17 23 0
9 41 -32 0
-14 52 50 0
-46 -25 35 0
-36 7 -72 0
-65 29 -25 0
-3 50 23 0
-43 -7 65 0
-37 -75 16 0
-40 -6 -45 0
-73 -69 -13 0
-53 43 49 0
23 -51 -25 0
19 33 35 0
-23 -39 47 0
-13 51 50 0
19 58 73 0
-44 -37 -31 0
-66 -75 41 0
4 -13 67 0
69 11 51 0
-8 67 -29 0
-62 -39 -34 0
-34 -73 30 0
-47 -23 40 0
71 -65 -70 0
43 -18 44 0
70 -5 -32 0
1 -41 -53 0
24 29 63 0
57 -44 39 0
40 -15 73 0
-47 -58 2 0
20 18 54 0
-19 72 -4 0
75 43 -47 0
-30 -17 -24 0
-1 71 -68 0
-65 -50 -39 0
23 32 30 0
30 -8 70 0
11 60 52 0
3 -55 -25 0
49 -28 -21 0
12 -75 10 0
4 -37 1 0
-50 74 -65 0
11 -4 -33 0
-20 -11 -50 0
-34 -36 -50 0
-22 17 -38 0
-29 15 -12 0
16 -21 31 0
29 -74 -63 0
69 -31 -62 0
-29 45 9 0
37 73 -41 0
14 -17 44 0
44 -72 9 0
-74 62 32 0
-23 6 62 0
46 -16 -36 0
35 23 18 0
20 26 -74 0
-38 -25 36 0
60 15 -44 0
10 66 -9 0
67 45 57 0
4 49 14 0
23 9 41 0
51 15 2 0
26 -49 -32 0
10 36 -21 0
5 -50 -36 0
59 56 -58 0
39 6 -11 0
28 -2 -42 0
-29 7 39 0
11 35 -31 0
-60 1 -57 0
4 37 31 0
67 70 62 0
64 24 -32 0
73 48 -9 0
-20 14 -59 0
-27 -69 48 0
-17 -38 -11 0
1 37 9 0
11 13 52 0
-4 -8 -60 0
-47 21 42 0
-50 -65 -23 0
-52 -59 18 0
-70 -67 53 0
-41 -3 -50 0
-55 74 -12 0
-13 -52 -30 0
-36 74 -57 0
-19 -40 56 0
-65 59 -11 0
10 -60 -49 0
-57 4 31 0
-55 57 -25 0
-18 -26 -57 0
-3 15 -4 0
30 43 -33 0
51 33 63 0
2 43 -9 0
-18 -48 8 0
25 55 49 0
40 -59 68 0
16 -59 -53 0
44 -20 12 0
-30 31 26 0
-54 -23 -45 0
58 -64 10 0
-32 3 39 0
28 -41 75 0
2 -37 26 0
13 -49 -52 0
54 68 -44 0
-49 34 72 0
17 8 29 0
50 -37 -60 0
21 50 -16 0
-54 36 37 0
60 63 -48 0
60 -12 -67 0
-31 -46 -57 0
23 -35 -17 0
26 35 -17 0
17 -53 -15 0
-47 -69 -4 0
-18 -2 -47 0
-3 74 8 0
-42 12 40 0
19 63 53 0
8 25 -38 0
41 55 -59 0
52 -9 38 0
-63 -70 36 0
67 -44 -5 0
70 -66 8 0
55 4 -40 0
-37 -5 59 0
60 -63 73 0
-47 -64 20 0
58 -28 -23 0
13 35 -36 0
-61 -23 24 0
-28 -25 -19 0
-47 -3 -35 0
2 5 15 0
-40 -25 49 0
-71 -42 -40 0
-51 52 11 0
26 75 27 0
-34 -24 75 0
67 -4 -57 0
-7 -54 -69 0
43 -53 45 0
-58 -71 14 0
26 -33 -72 0
-55 45 18 0
-36 -44 11 0
60 15 72 0
18 64 -14 0
28 -23 -32 0
65 58 26 0
61 67 31 0
38 -51 66 0
-72 23 -9 0
-61 27 -30 0
-71 -57 -47 0
-68 -26 43 0
-69 -16 -36 0
69 -73 58 0
74 -55 -15 0
-65 -30 -53 0
29 73 11 0
20 -30 26 0
-37 54 -21 0
43 24 73 0
20 -11 -38 0
-7 61 -12 0
67 20 -42 0
31 51 -60 0
71 38 -57 0
50 -24 -68 0
-70 68 33 0
75 -45 -1 0
24 -68 7 0
-43 12 -69 0
56 -13 -67 0
15 -12 -68 0
-29 -72 -14 0

c GPT solve time: 21.34 seconds

* UNSATISFIABLE
* Number of branches: 0
* Number of conflicts: 0
