c Random 3-SAT
c alpha=3.0, N=75, L=225, instance=5
p cnf 75 225
38 -48 32 0
-22 39 41 0
29 -36 -72 0
25 -70 -62 0
9 75 -11 0
69 -64 -71 0
21 -19 -53 0
-11 52 64 0
-56 -54 -46 0
19 -11 71 0
-68 -13 41 0
-27 -46 74 0
-39 -44 5 0
52 8 -53 0
4 -7 -16 0
-52 -11 -42 0
-19 27 43 0
59 -23 40 0
23 51 -14 0
15 31 -72 0
43 -62 -39 0
38 -65 55 0
-44 -27 58 0
-9 65 62 0
3 62 -41 0
-32 -47 48 0
17 46 -53 0
-44 -58 -61 0
25 -39 35 0
-50 -30 -18 0
65 51 -18 0
-33 -68 70 0
35 73 -6 0
37 17 44 0
28 26 -55 0
-50 61 -38 0
-11 14 -47 0
16 18 -5 0
-34 42 -56 0
49 62 -65 0
62 -24 34 0
-22 27 53 0
6 -50 67 0
39 -60 61 0
-24 20 -4 0
52 -51 34 0
-33 56 -20 0
50 31 13 0
-58 61 39 0
-69 41 14 0
16 -40 28 0
5 19 50 0
-25 50 74 0
40 55 61 0
20 60 71 0
64 8 -57 0
4 29 33 0
-73 13 -47 0
72 44 10 0
3 22 64 0
16 8 -73 0
42 -32 57 0
43 42 -63 0
-20 -16 -11 0
31 33 27 0
-67 65 32 0
-65 -13 45 0
-68 13 -53 0
-56 33 -36 0
23 71 19 0
-40 -36 -27 0
22 -1 36 0
-32 -9 54 0
-10 -32 -31 0
1 -74 -38 0
-33 -6 43 0
39 -24 -43 0
-63 39 -4 0
-70 -6 -46 0
47 -29 35 0
-2 10 64 0
-74 69 -67 0
61 -35 37 0
-60 11 -62 0
-47 -11 -8 0
69 59 71 0
18 4 -42 0
-43 -34 48 0
26 -56 1 0
-7 -63 -11 0
-7 52 -26 0
72 -60 -54 0
22 -41 62 0
36 35 -44 0
18 64 -15 0
20 -65 15 0
-19 -59 4 0
-21 -4 24 0
22 30 65 0
29 -23 56 0
25 37 -16 0
48 57 -11 0
62 19 60 0
-7 -66 6 0
59 -7 22 0
-17 60 34 0
-45 49 26 0
25 -66 -27 0
38 -21 -26 0
7 -72 -66 0
30 -26 -23 0
-67 58 72 0
28 64 72 0
55 49 -61 0
-1 24 -68 0
31 17 -69 0
-12 28 4 0
62 36 64 0
20 -28 3 0
7 21 74 0
-55 16 -70 0
-5 74 37 0
20 -46 47 0
-67 -23 68 0
-48 55 -63 0
-15 -68 9 0
59 23 64 0
36 33 2 0
-6 64 -27 0
-53 -12 -45 0
-46 -19 -47 0
-34 -7 -38 0
-20 -25 15 0
43 -67 -58 0
-25 -45 -63 0
-11 -47 -23 0
-14 12 69 0
24 -21 43 0
36 -19 72 0
-5 23 -66 0
53 -34 -40 0
35 -12 27 0
11 -28 26 0
11 15 -36 0
28 59 57 0
-44 1 30 0
31 -47 33 0
-2 -39 54 0
-31 -8 40 0
36 -26 6 0
-10 -11 39 0
-49 31 5 0
-46 11 7 0
-23 -18 7 0
2 -29 -3 0
-39 -54 2 0
57 -11 14 0
28 4 -56 0
-45 -66 -24 0
9 -57 70 0
33 71 -52 0
28 -35 23 0
72 -73 37 0
-52 45 63 0
31 10 74 0
-62 16 32 0
9 63 -46 0
-16 -4 70 0
-55 73 -46 0
-12 36 -70 0
-51 6 -27 0
-66 41 -18 0
49 -13 -62 0
-24 42 -9 0
-74 -44 -55 0
-44 63 -61 0
-70 -72 31 0
-72 -20 -39 0
38 30 -24 0
-45 50 -41 0
6 -42 -46 0
-56 -27 6 0
-68 -45 16 0
-21 18 48 0
-28 -21 61 0
37 -69 -2 0
-17 -58 70 0
10 63 -4 0
-35 27 -47 0
-21 5 -27 0
-28 -46 -25 0
-50 44 -48 0
-52 8 -33 0
-21 8 63 0
62 18 -52 0
10 64 -5 0
15 -73 13 0
-29 -19 -28 0
-48 -39 -56 0
-71 -6 -54 0
-55 -61 -38 0
-65 -61 -13 0
-61 3 -51 0
29 48 -57 0
-46 36 -50 0
4 -68 -64 0
30 -2 -63 0
-54 40 -75 0
-62 2 -23 0
-1 -17 38 0
-17 -47 57 0
52 -75 41 0
-6 -22 -37 0
-70 46 -57 0
-37 50 40 0
21 -67 -74 0
7 8 -20 0
-9 -34 -32 0
14 -58 -74 0
-46 63 45 0
22 20 -48 0
-25 -4 20 0
60 41 12 0
2 56 1 0
43 16 -68 0

c GPT solve time: 0.00 seconds

[Error] The model `gpt-o3` does not exist or you do not have access to it.
