c Random 3-SAT
c alpha=3.0, N=75, L=225, instance=1
p cnf 75 225
21 28 54 0
17 52 -15 0
10 -69 14 0
35 -47 -60 0
-11 -21 -59 0
-21 11 -41 0
52 3 -6 0
62 20 -15 0
-15 -6 33 0
56 57 30 0
33 7 -36 0
5 9 -54 0
-24 5 -51 0
53 -41 -27 0
-58 -36 -57 0
-14 -29 -51 0
31 30 52 0
-35 -37 -19 0
-15 -36 41 0
-63 -37 5 0
-9 -7 42 0
54 61 -9 0
-30 48 -55 0
-37 13 10 0
42 -75 -50 0
-19 -74 -24 0
-11 -18 -44 0
19 35 -45 0
-25 38 -27 0
-7 20 73 0
-16 73 61 0
19 -67 -31 0
50 -27 24 0
2 -5 -71 0
-19 -16 -60 0
6 -59 3 0
33 53 28 0
74 4 67 0
69 19 -65 0
-9 -75 68 0
40 48 -24 0
7 -15 65 0
-56 -25 15 0
9 37 -23 0
66 24 12 0
68 -12 -67 0
50 -57 -70 0
-24 -43 -55 0
-49 -35 23 0
3 -26 8 0
32 47 37 0
-19 -56 -64 0
-58 26 -31 0
-4 19 22 0
-52 37 -26 0
-21 -65 -5 0
26 35 -2 0
-38 13 30 0
73 -15 -69 0
10 55 16 0
-40 -25 33 0
-27 73 13 0
-36 4 -74 0
5 25 9 0
3 59 -40 0
51 -4 -2 0
-24 4 33 0
38 -37 -22 0
12 34 26 0
-59 25 -16 0
22 -24 10 0
34 4 -24 0
43 38 45 0
-21 36 -30 0
59 -8 41 0
52 21 -50 0
-49 10 66 0
3 -4 11 0
74 11 4 0
-43 -60 -62 0
-35 23 -14 0
-23 -67 -14 0
47 8 -43 0
44 -32 41 0
-13 -58 48 0
57 -12 40 0
-42 -37 -12 0
63 61 -12 0
69 7 67 0
-39 8 -19 0
-51 -24 72 0
-51 -3 6 0
-18 -42 -6 0
-50 46 32 0
-16 11 73 0
18 26 66 0
72 -47 61 0
32 -41 -60 0
-64 22 42 0
-34 71 27 0
-71 29 -67 0
17 60 -19 0
32 -55 22 0
69 30 -12 0
22 16 -35 0
-66 46 11 0
59 -8 -19 0
7 69 40 0
-46 25 14 0
-65 28 64 0
-17 49 14 0
21 -62 -25 0
64 -73 23 0
30 73 -66 0
-4 -12 -32 0
-54 -22 -40 0
-67 8 -39 0
-51 29 -32 0
-44 -28 46 0
17 -38 64 0
-3 57 29 0
47 43 -27 0
36 10 42 0
-59 37 51 0
41 -3 63 0
-7 72 -37 0
-31 -18 28 0
30 4 38 0
22 5 18 0
11 -18 -36 0
61 -71 -65 0
4 -52 -40 0
53 68 -20 0
-1 -5 29 0
-68 -42 -7 0
49 -35 -45 0
-14 -51 60 0
71 -75 13 0
11 -74 -8 0
-43 8 -51 0
8 -52 -30 0
-9 -30 -20 0
6 -69 5 0
-38 -64 11 0
65 -7 54 0
-3 29 -37 0
-8 -40 -66 0
-8 -15 -55 0
-50 -24 -42 0
-10 -39 -25 0
-18 34 -32 0
73 -66 10 0
-74 -23 -60 0
3 33 -49 0
-5 41 -29 0
64 -14 -21 0
-63 -56 46 0
37 -39 -54 0
-57 -33 -19 0
-29 42 47 0
65 4 -40 0
9 64 27 0
-11 -45 -64 0
32 44 2 0
52 -23 22 0
-62 45 -9 0
-6 29 18 0
29 -67 6 0
31 -35 -59 0
-74 6 -54 0
-9 -5 60 0
-43 -73 -4 0
18 33 44 0
-24 57 -20 0
-57 9 -58 0
-60 36 -62 0
-9 23 -20 0
-7 -21 -47 0
-16 1 -73 0
27 -61 4 0
46 31 60 0
37 -74 -45 0
56 -37 -72 0
60 -57 -70 0
-58 -30 26 0
24 -26 -10 0
-13 -56 37 0
71 59 -15 0
-40 24 -63 0
10 -69 57 0
-15 13 1 0
-24 59 10 0
-37 15 -57 0
11 47 -33 0
-18 -1 -49 0
-66 -49 11 0
44 31 -59 0
-2 68 58 0
-13 2 26 0
-17 18 -72 0
73 25 13 0
-71 -57 -30 0
26 47 -45 0
-69 -2 74 0
5 50 -17 0
-33 -1 -75 0
-47 39 -19 0
-16 26 -3 0
73 -31 -52 0
-66 22 68 0
36 2 -26 0
-20 -31 -74 0
-44 -46 -18 0
-73 -33 11 0
41 -40 64 0
-60 35 2 0
58 44 27 0
51 5 6 0
-20 -36 -47 0
-39 -41 29 0
-21 66 -28 0
-14 -39 8 0
-68 63 25 0
-43 48 75 0
32 -55 -28 0

c GPT solve time: 0.00 seconds

[Error] This model is only supported in v1/responses and not in v1/chat/completions.
