c Random 3-SAT
c alpha=4.0, N=75, L=300, instance=7
p cnf 75 300
38 -40 -27 0
-54 -55 18 0
69 44 -26 0
-73 53 61 0
-60 54 21 0
-6 -30 -55 0
32 15 69 0
-36 -12 48 0
-31 63 -4 0
9 47 -29 0
-23 10 -74 0
2 64 57 0
2 -54 20 0
26 68 -41 0
-64 24 25 0
-51 -20 -10 0
-43 74 -55 0
-61 -58 -11 0
9 -26 -69 0
-61 51 7 0
24 -70 32 0
47 -45 -7 0
-21 2 -6 0
3 51 29 0
-20 21 -3 0
-43 7 -27 0
-5 -1 -18 0
-2 -44 -37 0
-21 56 25 0
4 -62 -16 0
-42 26 3 0
67 -13 -71 0
-13 -74 -62 0
-15 -42 3 0
-30 31 -36 0
-43 -29 -48 0
2 -56 -57 0
38 -53 -10 0
-23 29 56 0
3 -23 62 0
15 70 -18 0
28 -44 27 0
-21 17 66 0
-69 62 -17 0
-24 -55 38 0
45 -40 -38 0
4 18 68 0
-47 -51 20 0
-71 10 -55 0
43 12 53 0
64 -21 -27 0
-7 -60 -3 0
-68 -2 -41 0
-2 63 -10 0
-61 57 -36 0
32 7 61 0
-39 -48 -41 0
-42 50 -17 0
-47 -64 58 0
49 69 -47 0
-8 72 -20 0
-2 42 -69 0
-47 44 -4 0
59 62 21 0
-34 -1 37 0
-18 -44 36 0
-46 15 58 0
-1 -41 -35 0
13 -38 16 0
42 66 -54 0
1 -75 -23 0
-7 -5 -2 0
-14 -27 -68 0
-51 -29 4 0
-55 53 -3 0
-7 8 18 0
6 -52 -65 0
-47 -56 -64 0
-1 -22 -55 0
11 -38 15 0
52 -61 17 0
8 43 7 0
13 -36 4 0
-26 40 25 0
54 -74 43 0
36 -47 -74 0
-19 -63 -66 0
6 48 24 0
-26 13 33 0
13 1 -42 0
53 -5 48 0
62 6 5 0
-4 -45 -27 0
-46 11 -58 0
31 -47 -54 0
51 -58 31 0
23 -42 -47 0
-11 -6 68 0
31 42 -28 0
-56 -30 -13 0
-75 3 17 0
5 62 -16 0
-13 1 -54 0
-29 -37 -18 0
-48 -16 -57 0
3 -70 57 0
-4 -7 10 0
59 55 2 0
-40 -74 -33 0
43 26 -11 0
-40 -48 -29 0
-8 70 -2 0
-40 -32 43 0
72 -4 26 0
58 -27 -41 0
45 7 51 0
74 33 -24 0
1 65 -56 0
6 -61 -69 0
-39 -54 3 0
-28 46 51 0
-52 12 73 0
6 -22 16 0
-60 7 -5 0
-54 -53 12 0
-25 27 59 0
-29 -36 28 0
41 -73 -51 0
43 -32 17 0
-54 -51 38 0
-50 -69 -15 0
-51 45 -21 0
-26 -23 -11 0
10 -14 61 0
34 39 47 0
-17 -42 68 0
-10 33 -19 0
-46 -47 -40 0
48 -20 -4 0
-67 65 -57 0
-44 45 -34 0
-20 -49 -63 0
-50 -1 -13 0
8 12 13 0
52 -47 -11 0
19 41 51 0
63 -31 13 0
-56 39 -74 0
50 -28 -4 0
10 -26 24 0
-54 -73 -47 0
-29 -25 -49 0
-55 32 29 0
-16 -55 -29 0
-63 70 -43 0
-37 -51 13 0
42 -37 14 0
68 49 -58 0
-5 -6 52 0
71 -39 -9 0
52 -51 4 0
-71 -17 31 0
-12 2 67 0
10 57 5 0
-3 -14 -27 0
-74 35 -5 0
12 -34 2 0
-20 -17 1 0
28 23 54 0
-2 54 -64 0
-11 20 -35 0
22 30 -61 0
-33 -47 20 0
-3 -53 27 0
-4 52 -61 0
-31 65 -12 0
-69 5 -50 0
34 61 -65 0
-11 -54 -64 0
31 -46 7 0
-27 -25 71 0
-46 10 68 0
-38 6 35 0
75 -11 12 0
-21 -66 12 0
24 -27 -42 0
-13 28 -67 0
-38 58 16 0
-20 18 -6 0
-27 25 -71 0
-25 -15 17 0
-60 23 34 0
-45 30 -38 0
75 7 25 0
-67 21 -50 0
27 -45 46 0
74 58 -20 0
62 9 -30 0
-20 -75 -1 0
5 57 45 0
-48 59 23 0
-31 18 64 0
-33 -4 -73 0
-47 61 45 0
54 -63 23 0
65 46 31 0
69 2 -47 0
-74 -23 -39 0
-51 -14 -62 0
37 -46 18 0
56 36 3 0
-5 -7 -74 0
6 -3 56 0
-51 23 -19 0
25 51 -49 0
-27 -42 -35 0
19 -72 45 0
54 49 6 0
33 71 -8 0
46 -61 21 0
-54 -5 -16 0
-52 -23 -30 0
-53 -69 49 0
-34 50 27 0
-15 24 50 0
16 -59 -19 0
-7 -13 -64 0
12 -30 -44 0
-61 13 60 0
47 4 16 0
45 3 52 0
-10 39 2 0
27 60 -16 0
-21 -48 37 0
-48 50 11 0
-34 -28 61 0
17 33 -22 0
62 -20 60 0
-1 42 37 0
35 3 9 0
-74 -15 22 0
29 53 54 0
31 -61 -60 0
-52 -58 -7 0
-20 5 71 0
-35 37 16 0
69 8 -10 0
25 -3 50 0
