c Random 3-SAT
c alpha=3.5, N=75, L=262, instance=8
p cnf 75 262
-40 33 26 0
-73 47 27 0
52 -47 -36 0
24 43 39 0
20 -73 29 0
61 56 65 0
60 54 25 0
26 65 15 0
41 -30 12 0
37 14 -46 0
-49 -4 -25 0
4 62 -7 0
-49 4 47 0
52 62 -21 0
-10 25 -51 0
47 36 53 0
-49 58 31 0
57 64 46 0
49 -19 28 0
-56 51 -66 0
72 37 -33 0
41 6 40 0
-60 -30 -72 0
5 -17 -2 0
-64 -21 -69 0
-4 11 -26 0
55 35 -49 0
51 4 -66 0
-33 20 -56 0
9 -8 -32 0
19 43 75 0
28 6 60 0
19 53 9 0
13 62 -42 0
32 -54 -3 0
-25 -32 67 0
-28 -30 -18 0
-37 -5 72 0
3 -55 -25 0
-74 -10 36 0
32 -30 28 0
-33 -65 -37 0
9 -67 45 0
17 -67 -44 0
64 -16 62 0
-36 -59 27 0
1 -74 -43 0
-38 52 -72 0
58 -63 4 0
26 -74 4 0
63 57 -12 0
-4 -11 -20 0
-43 24 44 0
47 -74 -20 0
18 72 67 0
73 61 -53 0
-57 39 -51 0
-35 51 43 0
39 -72 60 0
-52 38 28 0
6 37 -61 0
61 -36 -8 0
-70 53 28 0
69 7 65 0
-75 39 -71 0
31 33 30 0
70 -46 -16 0
-34 39 -13 0
69 -68 -59 0
-66 46 -54 0
24 6 -48 0
25 46 -34 0
-44 -37 45 0
-35 63 -2 0
-72 -1 -34 0
-42 -39 -27 0
63 -42 48 0
-23 40 -24 0
14 -19 -15 0
-1 8 16 0
36 62 -47 0
28 65 -43 0
-38 -31 -43 0
-70 25 -62 0
-18 -19 -2 0
64 -52 72 0
-33 -14 8 0
32 60 50 0
-29 -31 14 0
34 -47 48 0
-29 49 3 0
-29 -7 -53 0
-27 31 75 0
50 33 -72 0
4 5 19 0
-72 74 -2 0
58 1 -40 0
55 -56 12 0
14 24 10 0
-44 47 -9 0
16 -31 -62 0
-26 -7 49 0
20 60 53 0
-30 -15 36 0
27 29 69 0
-34 65 62 0
38 17 -63 0
-21 55 9 0
-7 -47 72 0
-6 -7 17 0
-63 45 -4 0
-73 -27 53 0
40 50 -74 0
-73 -68 -75 0
13 40 58 0
5 23 -9 0
67 -1 -58 0
-27 2 -66 0
-52 59 69 0
-39 -37 -65 0
-49 -6 41 0
10 -16 47 0
-68 -38 -55 0
-60 -11 45 0
36 -22 68 0
21 12 -41 0
34 -64 -4 0
-63 29 9 0
74 -15 -27 0
44 -5 -66 0
66 -45 72 0
-75 -70 -47 0
-71 75 23 0
-25 -48 36 0
-37 11 -1 0
71 29 8 0
-23 -24 -31 0
-37 -18 15 0
26 -13 2 0
62 30 54 0
2 46 13 0
-35 31 -5 0
-2 18 -1 0
-41 19 -7 0
-48 19 2 0
-61 -1 -67 0
18 11 8 0
54 -13 -24 0
25 -67 -5 0
9 -32 -75 0
-47 -65 -19 0
53 -35 -14 0
-67 -33 70 0
8 -37 -27 0
-26 -70 -53 0
41 -62 -10 0
-66 -52 74 0
21 74 -69 0
-57 -5 -1 0
-54 12 -1 0
6 42 70 0
-28 26 -34 0
43 34 -32 0
8 -12 63 0
42 -1 51 0
