c Random 3-SAT
c alpha=1.0, N=75, L=75, instance=2
p cnf 75 75
-68 -28 -58 0
-71 -65 -61 0
38 -37 45 0
-18 14 -34 0
4 10 35 0
-36 -28 -8 0
-24 -38 31 0
59 38 -15 0
60 -66 39 0
49 4 74 0
51 -63 7 0
-59 -66 24 0
-34 5 14 0
46 -38 67 0
34 50 71 0
44 -21 -43 0
-11 -9 36 0
-12 -65 35 0
33 73 -29 0
15 55 44 0
2 32 20 0
74 -3 -13 0
49 -67 20 0
71 -67 45 0
-70 -1 65 0
27 -39 -66 0
22 26 2 0
65 19 -56 0
-51 48 -22 0
63 74 3 0
53 33 -36 0
41 9 -21 0
44 16 -22 0
2 14 57 0
-21 34 -35 0
51 -24 -13 0
-74 -39 -65 0
-68 -11 -14 0
44 15 -56 0
-61 52 -14 0
-73 17 -66 0
-9 68 -31 0
-32 -19 -40 0
61 73 36 0
-18 -26 -35 0
-29 -11 -42 0
-20 -44 10 0
-51 50 -46 0
-36 4 -25 0
-52 -1 -73 0
-51 54 -48 0
73 -9 10 0
-50 -31 16 0
-18 25 -63 0
45 37 -2 0
71 45 -32 0
11 10 56 0
-26 6 5 0
-51 22 -27 0
31 59 32 0
-9 -33 12 0
-26 -5 34 0
-45 -69 65 0
-45 75 3 0
-8 -13 27 0
46 56 28 0
57 -41 9 0
-28 48 -29 0
-25 -12 8 0
52 23 -44 0
39 75 -48 0
45 20 51 0
28 72 -48 0
-43 28 -45 0
21 45 -55 0

c GPT solve time: 30.51 seconds

