c Random 3-SAT
c alpha=3.0, N=75, L=225, instance=7
p cnf 75 225
-22 -41 -28 0
-64 -61 42 0
27 32 -8 0
-18 -58 -2 0
-49 -60 -11 0
-44 9 39 0
-65 -4 51 0
18 20 59 0
43 -11 47 0
35 -26 28 0
-74 -41 58 0
23 -24 -61 0
42 7 -26 0
-28 -38 33 0
48 -73 6 0
9 12 14 0
16 -57 13 0
2 27 34 0
-12 -69 1 0
45 -40 5 0
66 -72 24 0
31 36 74 0
8 -16 -25 0
-17 14 -51 0
9 -6 66 0
-26 -47 -24 0
-29 -31 -27 0
20 3 32 0
30 -71 15 0
18 35 -2 0
14 47 25 0
22 -30 -38 0
35 27 33 0
-55 13 31 0
-31 -7 9 0
-41 62 29 0
-12 41 65 0
45 28 -75 0
51 -3 35 0
-55 32 -24 0
9 -62 21 0
13 -12 -75 0
-7 -59 -61 0
-9 27 -13 0
-18 -61 55 0
41 74 26 0
73 -37 -12 0
60 71 30 0
-16 14 -54 0
-71 -9 -50 0
-56 -46 73 0
-68 -55 -64 0
-38 -32 42 0
-47 -37 -39 0
5 -45 48 0
70 -41 35 0
-33 38 31 0
-2 41 1 0
35 -28 1 0
48 -71 53 0
-12 53 -2 0
-36 70 -2 0
-8 -55 -40 0
36 -7 -50 0
-12 -20 -58 0
-52 23 -56 0
19 11 46 0
9 -66 -48 0
16 -43 -12 0
24 44 -29 0
73 -1 74 0
-45 44 -37 0
-7 -73 37 0
16 53 -72 0
-1 36 -67 0
18 47 30 0
-34 -49 -46 0
-1 27 -34 0
39 52 -22 0
-37 68 -6 0
56 -3 -58 0
-1 -32 61 0
52 -30 4 0
-22 -60 68 0
-29 1 -69 0
54 75 65 0
-27 -15 37 0
3 12 63 0
-31 68 54 0
-26 -69 49 0
48 -1 26 0
-5 61 -27 0
18 -35 26 0
36 27 69 0
35 52 56 0
9 36 66 0
61 3 -55 0
-64 53 -45 0
-7 5 -13 0
1 -40 -7 0
-34 8 -55 0
16 67 -71 0
37 -27 -39 0
-28 -21 26 0
-54 42 -13 0
59 -20 74 0
-37 15 16 0
-38 -33 -11 0
21 32 -44 0
5 23 48 0
19 -6 50 0
-42 -28 71 0
-70 3 10 0
27 -36 26 0
-42 14 40 0
-31 41 63 0
-32 55 54 0
-20 44 55 0
28 20 -66 0
-9 -28 -15 0
-69 -53 48 0
50 -36 2 0
-1 -43 44 0
18 3 -46 0
-74 66 -18 0
-11 -7 25 0
-38 50 33 0
50 -72 -43 0
43 -40 68 0
66 -38 40 0
72 -63 13 0
53 -58 -3 0
-65 37 69 0
39 -30 24 0
-23 -40 63 0
59 52 71 0
31 -42 -69 0
-37 -70 32 0
-74 52 -59 0
-40 5 -15 0
-50 -44 -66 0
-34 74 -27 0
-22 -3 19 0
-36 -46 14 0
-8 -4 -23 0
8 60 -67 0
30 -24 12 0
-11 -54 27 0
1 7 -39 0
37 26 30 0
-33 28 -72 0
63 -25 -24 0
63 -26 17 0
-32 -27 -68 0
-23 43 -70 0
49 7 74 0
3 -20 -55 0
-56 -61 28 0
-58 55 -36 0
-56 -25 -66 0
-69 -39 48 0
-8 -56 44 0
70 -24 65 0
70 -19 -72 0
20 34 9 0
54 -34 -29 0
19 -61 27 0
-53 -62 17 0
60 -38 -46 0
51 9 26 0
-60 51 -54 0
41 -17 -21 0
-67 -2 6 0
34 73 20 0
-37 -55 -13 0
18 24 10 0
57 30 -52 0
15 -61 -12 0
-40 -15 -53 0
-67 30 29 0
66 55 -22 0
4 11 48 0
69 -33 55 0
-72 -24 -15 0
-14 65 -59 0
46 -68 3 0
30 12 -29 0
23 -60 3 0
18 -41 -43 0
-70 -45 -68 0
-60 34 -40 0
58 18 61 0
47 20 70 0
42 -72 -59 0
26 18 -69 0
15 -58 -72 0
-60 -51 14 0
-20 -26 21 0
71 -2 18 0
25 -53 -32 0
-43 -17 42 0
-72 53 -59 0
-32 -61 43 0
44 -10 -8 0
27 32 -59 0
-41 48 -72 0
4 36 1 0
60 41 16 0
-49 53 2 0
-19 -54 -29 0
26 27 -40 0
-14 -28 66 0
-38 -37 39 0
-47 -38 13 0
40 34 -74 0
-62 -29 65 0
-34 -6 -30 0
-7 -54 -19 0
16 43 -23 0
-28 20 25 0
-63 15 8 0
12 -49 47 0
-15 -16 -9 0
62 -75 -36 0
-31 -61 -38 0

c GPT solve time: 0.00 seconds

[Error] Your organization must be verified to use the model `o3-deep-research`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.
