c Random 3-SAT
c alpha=3.0, N=75, L=225, instance=12
p cnf 75 225
-61 -60 -43 0
68 1 7 0
29 14 55 0
70 -46 67 0
33 69 38 0
-33 -70 -17 0
-10 -2 -42 0
63 53 47 0
10 -37 57 0
-54 52 -67 0
8 -63 36 0
-17 -26 34 0
-71 65 26 0
15 9 -25 0
53 -66 -43 0
-61 -41 -21 0
-26 52 -20 0
-15 26 -44 0
-57 30 48 0
39 28 47 0
71 -24 -3 0
45 30 -32 0
51 35 22 0
31 12 47 0
-75 -62 8 0
1 -47 64 0
-27 72 50 0
66 32 -64 0
-15 -10 29 0
-28 -61 -68 0
-39 -27 -72 0
19 7 -61 0
-35 -43 -1 0
-67 22 -47 0
73 -31 48 0
-57 -48 -14 0
-57 75 66 0
-7 63 -41 0
-32 68 50 0
-47 14 27 0
-34 -43 68 0
-26 -19 20 0
-9 17 -68 0
39 44 -6 0
61 -5 38 0
28 -14 -62 0
35 65 14 0
-73 38 -54 0
60 -35 -58 0
-56 -24 51 0
-36 -35 -47 0
-67 4 -30 0
23 -18 12 0
-48 66 71 0
19 -52 -24 0
-7 10 74 0
-64 -56 -53 0
-70 74 63 0
4 -39 70 0
-30 -48 51 0
44 -23 55 0
63 37 43 0
11 -55 68 0
-49 7 1 0
-11 -28 -57 0
67 -44 -60 0
-75 -10 26 0
-30 50 15 0
26 -69 73 0
-7 -51 -36 0
32 -51 75 0
-9 35 69 0
28 74 2 0
-43 25 -14 0
70 30 -9 0
4 -7 2 0
-27 56 -72 0
31 -50 64 0
-45 30 60 0
46 -66 -14 0
70 48 27 0
-57 63 -59 0
7 -30 1 0
-31 18 6 0
54 -25 -6 0
-70 68 46 0
64 -1 -54 0
-28 -17 73 0
45 17 -5 0
-28 -46 -59 0
61 37 -27 0
37 -20 65 0
65 35 -11 0
42 72 -75 0
-15 50 59 0
39 -18 20 0
-34 -75 -3 0
17 -36 11 0
-41 -4 23 0
-66 -26 -69 0
-53 -7 -30 0
-25 -56 38 0
-30 6 53 0
43 6 72 0
29 -11 -12 0
72 -1 14 0
13 -1 -59 0
50 -6 -1 0
-27 8 -18 0
-61 -31 34 0
3 44 59 0
42 24 48 0
74 -22 14 0
72 -7 51 0
-73 -63 16 0
52 19 -68 0
38 26 53 0
-64 75 -47 0
31 61 -45 0
-35 -57 -69 0
-37 -33 -69 0
63 -4 67 0
-30 48 -34 0
32 -73 -39 0
3 66 58 0
-13 -73 -55 0
4 -66 -35 0
9 -53 56 0
50 -4 -34 0
-4 -16 -65 0
8 45 -39 0
-51 30 -5 0
-45 -34 -20 0
-52 67 -25 0
-18 65 -37 0
-63 -26 64 0
-33 2 49 0
15 -69 63 0
-5 -19 -11 0
68 42 64 0
33 62 71 0
32 -22 21 0
67 31 -50 0
41 39 -20 0
-55 33 14 0
4 -43 17 0
-75 21 34 0
57 59 62 0
-75 21 -54 0
-64 -59 32 0
68 20 7 0
44 5 18 0
-66 -52 -71 0
61 -14 56 0
-45 7 26 0
-8 -32 -24 0
-54 -47 8 0
71 29 6 0
66 -60 39 0
39 65 -57 0
-75 -41 -33 0
3 17 -39 0
-3 23 74 0
71 -7 52 0
9 24 -8 0
-4 57 39 0
69 41 73 0
4 -8 -15 0
-47 31 6 0
26 3 -30 0
34 39 35 0
53 -56 -35 0
63 -2 65 0
19 47 -51 0
-36 18 52 0
59 50 66 0
31 -13 -42 0
-51 22 26 0
74 -15 -14 0
16 39 24 0
13 30 -21 0
-27 47 -53 0
44 -62 74 0
-18 -21 -17 0
-72 -52 19 0
9 23 74 0
-75 24 -19 0
-27 70 -28 0
-16 -56 7 0
64 -53 18 0
-17 -57 68 0
-33 21 35 0
-40 -75 50 0
-61 60 -71 0
75 1 -73 0
-70 41 -64 0
9 7 -28 0
26 -49 -31 0
-32 68 67 0
28 9 73 0
46 43 1 0
3 67 -69 0
-57 38 67 0
-15 -39 -45 0
25 11 55 0
32 -73 46 0
71 -26 -2 0
-74 31 18 0
61 -63 -65 0
-9 -69 23 0
10 -31 8 0
45 -26 23 0
43 -33 -55 0
-45 -68 64 0
68 -34 -22 0
7 -12 23 0
30 -71 -52 0
26 -20 -8 0
30 66 71 0
57 -67 -10 0
68 14 -62 0
14 -9 -65 0
62 -29 11 0
10 -22 17 0
-4 -74 -7 0

c GPT solve time: 0.00 seconds

[Error] Unsupported parameter: 'max_tokens' is not supported with this model. Use 'max_completion_tokens' instead.
